0Entropy,dLoss,1StdReturn,1MinReturn,0ProcessExecTime,1ProcessExecTime,1Entropy,0StdReturn,ComputeUpdatedDistTime,LossBefore,1ExplainedVariance,0ExplainedVariance,0MinReturn,0AveragePolicyStd,1AveragePolicyStd,0AverageReturn,1NumTrajs,Time,1Perplexity,0Perplexity,MeanKLBefore,1MaxReturn,ItrTime,0NumTrajs,1PolicyExecTime,1EnvExecTime,1AverageReturn,0MaxReturn,LossAfter,0PolicyExecTime,0EnvExecTime,MeanKL
2.66031,0.00256550125778,11394.4016709,0.0,1.4819233417510986,1.5139830112457275,2.66113,1977.65061057,0.11486148834228516,1.86264514923e-09,0.497939760144,0.0410843721335,0.0,0.916186,0.916539,878.25,400,5519.891581296921,14.3124,14.3007,-1.86264559332e-09,23800.0,237.5747458934784,400,88.77881813049316,39.58017659187317,11209.25,13000.0,-0.00256549939513,62.33109974861145,37.52207136154175,0.00746561586857
2.62286,0.00210691703251,11458.1892112,0.0,1.5147945880889893,1.481142520904541,2.62364,1645.97917286,0.16697978973388672,-7.56699591875e-10,0.528353535463,0.0335585558706,0.0,0.899589,0.899937,742.75,400,5759.609120607376,13.7858,13.7751,1.5832471334e-08,24000.0,238.4737479686737,400,88.09767937660217,39.15253734588623,11390.0,8200.0,-0.00210691778921,63.36207365989685,38.11687970161438,0.00651612505317
2.58008,0.00141076982254,11457.2862843,0.0,1.4931983947753906,1.5267300605773926,2.58204,1977.07960133,0.10933661460876465,-4.07453626394e-10,0.516780260251,0.0388253357512,0.0,0.88106,0.881805,1097.5,400,5998.2978637218475,13.224,13.1982,0.0,24000.0,237.75840973854065,400,87.82582879066467,39.369574546813965,11279.0,7100.0,-0.00141077023,63.36004638671875,37.57701516151428,0.00802213698626
2.51629,0.00228788622189,11320.3882415,0.0,1.4962072372436523,1.4784808158874512,2.51421,1794.75625086,0.11798262596130371,-8.14907252789e-10,0.526009326508,0.0540775314985,0.0,0.854162,0.853129,900.0,400,6246.074179649353,12.3568,12.3825,-3.72529429526e-09,24100.0,246.84074640274048,400,87.74484252929688,39.06137299537659,10842.25,6300.0,-0.0022878870368,72.9682879447937,37.69619369506836,0.00729766534641
2.48107,0.00158221554011,10160.159789,0.0,1.475257396697998,1.4873559474945068,2.48096,1649.80112438,0.11786389350891113,2.32830643654e-09,0.409379824717,0.065541920695,0.0,0.839866,0.839664,762.5,400,6484.216702461243,11.9527,11.954,0.0,24300.0,236.69692468643188,400,87.93487215042114,39.38541769981384,5864.25,6600.0,-0.0015822132118,62.450464487075806,37.85801649093628,0.00620218599215
2.47711,0.00175352720544,10024.7047058,0.0,1.4695558547973633,1.488008737564087,2.47547,1827.82486853,0.12390899658203125,2.32830643654e-10,0.355734718908,0.054438458391,0.0,0.838745,0.837992,962.5,400,6721.3121337890625,11.8873,11.9068,0.0,24200.0,236.2089183330536,400,88.23486065864563,38.73859691619873,5780.75,6500.0,-0.00175352697261,62.308783531188965,37.45599913597107,0.0075126090087
2.44861,0.00174683445221,10169.2639575,0.0,1.572429895401001,1.6307368278503418,2.44915,1962.65407039,0.12475824356079102,-3.85625753552e-10,0.359019197576,0.0532716957729,0.0,0.826626,0.826929,1067.0,400,6977.939457654953,11.5785,11.5722,0.0,24100.0,255.3876268863678,400,97.54920673370361,41.61074233055115,5869.25,6300.0,-0.00174683483783,66.7277684211731,39.77483868598938,0.00739705143496
2.42965,6.79811928421e-05,9842.0777278,0.0,1.5740423202514648,1.5765299797058105,2.42558,1872.57069292,0.11856603622436523,6.98491930962e-10,0.333669358295,0.0430647557431,0.0,0.820194,0.818486,977.0,400,7234.368739128113,11.3088,11.3549,1.86264581536e-09,24100.0,255.28492426872253,400,95.25194549560547,40.91237759590149,5666.0,5900.0,-6.79804943502e-05,69.53559136390686,39.178096532821655,0.0021861481946
2.3978,0.0013769651996,10218.4660786,0.0,1.6243085861206055,1.5788779258728027,2.39617,1962.85277084,0.1251537799835205,-8.14907252789e-10,0.343725461762,0.0485010892316,0.0,0.807318,0.806693,1047.0,400,7500.097284078598,10.9811,10.9989,-1.86264581536e-09,24100.0,264.55191683769226,400,94.80113530158997,41.10501527786255,5899.0,6500.0,-0.0013769660145,78.9397406578064,39.80407786369324,0.00658938987181
2.37507,3.95762472181e-05,9941.10833547,0.0,1.6031599044799805,1.6348047256469727,2.37366,1963.64735569,0.1193857192993164,-5.96628524363e-10,0.324037141423,0.0427759773229,0.0,0.79904,0.798331,1076.25,400,7756.214596986771,10.7366,10.7517,5.58793367134e-09,24200.0,255.0081729888916,400,95.54767107963562,41.58734679222107,5732.25,6400.0,-3.95768438466e-05,68.87284278869629,39.64355731010437,0.00281918793917
2.34362,0.000814543105662,10270.7949911,0.0,1.6206684112548828,1.5350251197814941,2.34026,2015.56933644,0.12230873107910156,1.16415321827e-09,0.349641431605,0.0385282077677,0.0,0.787488,0.786218,1105.5,400,8009.775427341461,10.3839,10.4189,7.45058237328e-09,24300.0,252.47312831878662,400,94.74929475784302,40.72373843193054,5929.5,6400.0,-0.000814541941509,67.30061745643616,40.22181940078735,0.00666957907379
2.30224,0.00199265475385,10222.0435549,0.0,1.6348497867584229,1.5724937915802002,2.30094,2038.50912127,0.11878514289855957,-9.31322574615e-10,0.335630311127,0.0433713254629,0.0,0.773178,0.772821,1133.25,400,8266.473055362701,9.98353,9.99657,1.86264559332e-09,24100.0,255.2712869644165,400,95.23206114768982,40.56591296195984,5900.75,6300.0,-0.00199265568517,70.30151963233948,39.6216983795166,0.00993372499943
2.28678,0.00226762634702,10281.5075226,0.0,1.5657122135162354,1.5810155868530273,2.2842,2023.35672522,0.11983728408813477,-2.32830643654e-10,0.345782994528,0.0444954328643,0.0,0.767673,0.766713,1107.25,400,8524.142227888107,9.81787,9.84317,0.0,24200.0,256.59055280685425,400,96.41916704177856,40.98932957649231,5935.75,6500.0,-0.00226762657985,69.60653829574585,39.26278519630432,0.0095340711996
2.29628,0.002927205991,10276.1861815,0.0,1.6108770370483398,1.5650241374969482,2.2955,2104.45426417,0.12148785591125488,6.98491930962e-10,0.334081460079,0.0431284740105,0.0,0.771055,0.770698,1191.5,400,8792.772495031357,9.92937,9.93717,0.0,24100.0,267.23775339126587,400,96.2610251903534,41.212260723114014,5932.75,6400.0,-0.00292720529251,79.83287596702576,40.141083002090454,0.00675082020462
2.29301,0.000793119972514,10293.5682558,0.0,1.5945680141448975,1.6127686500549316,2.29096,2088.68940666,0.1323683261871338,-9.45874489844e-11,0.331959380786,0.0431543709605,0.0,0.769986,0.769221,1178.75,400,9048.264583826065,9.88443,9.90466,0.0,24200.0,254.34449410438538,400,95.5239109992981,41.447887897491455,5942.75,6200.0,-0.000793120067101,68.48796486854553,39.40539336204529,0.00703024910763
2.25602,0.00110799493268,10254.1670523,0.0,1.5854990482330322,1.5499036312103271,2.25525,2141.50903279,0.15088772773742676,9.31322574615e-10,0.333730669669,0.0423055767255,0.0,0.756343,0.756191,1216.25,400,9303.867535591125,9.53772,9.545,0.0,24100.0,254.47534561157227,400,95.31983780860901,40.82877779006958,5918.25,6700.0,-0.00110799400136,69.26291704177856,39.57960319519043,0.0077960905619
2.22561,0.00107212399598,10280.6192633,0.0,1.5813274383544922,1.562715768814087,2.223,2150.71499739,0.11971211433410645,9.31322574615e-10,0.33860458453,0.0411680326125,0.0,0.741878,0.740773,1215.0,400,9560.477768421173,9.235,9.25912,0.0,24100.0,255.06952047348022,400,95.59315586090088,40.87629532814026,5935.25,6500.0,-0.00107212306466,69.54554724693298,39.33877348899841,0.00988759472966
2.19525,0.000985856167972,10283.9699259,0.0,1.5914757251739502,1.5911242961883545,2.19316,2054.40496251,0.12918400764465332,6.98491930962e-10,0.351790759481,0.0419197652447,0.0,0.731284,0.730474,1145.5,400,9816.260516881943,8.96346,8.98221,3.72529118664e-09,24200.0,254.60165309906006,400,94.88156199455261,41.07959866523743,5937.25,6000.0,-0.00098585546948,69.23993873596191,39.622018814086914,0.00738064199686
2.18904,0.00164637004491,10295.5895412,0.0,1.6014935970306396,1.5605566501617432,2.18873,2036.20626104,0.11756372451782227,-1.16415321827e-09,0.357137147021,0.041054123171,0.0,0.72761,0.727466,1146.25,400,10082.866273403168,8.92386,8.92662,0.0,24100.0,265.2026870250702,400,95.98901844024658,41.043301582336426,5944.0,6000.0,-0.00164637120906,78.44508981704712,39.89631485939026,0.0096173286438
2.21523,0.001268702792,10253.376197,0.0,1.5719718933105469,1.6261909008026123,2.21284,2035.42323609,0.18071722984313965,-4.65661287308e-10,0.33618059027,0.0408142721364,0.0,0.737097,0.736183,1148.5,400,10338.87360405922,9.1416,9.16354,0.0,24100.0,254.94291019439697,400,95.16826128959656,41.955726861953735,5918.75,6100.0,-0.00126870325767,68.89129853248596,39.42257785797119,0.00631560804322
