MeanKLBefore,ComputeUpdatedDistTime,0ExplainedVariance,1MaxReturn,1ProcessExecTime,1ExplainedVariance,1AverageReturn,1Entropy,1StdReturn,1PolicyExecTime,LossBefore,0AveragePolicyStd,0StdReturn,Time,1NumTrajs,1AveragePolicyStd,MeanKL,0ProcessExecTime,LossAfter,0Entropy,0PolicyExecTime,0EnvExecTime,ItrTime,0MinReturn,0NumTrajs,1MinReturn,dLoss,1Perplexity,0AverageReturn,0Perplexity,0MaxReturn,1EnvExecTime
0.0,0.07782292366027832,0.0240336044625,2900.0,0.6193146705627441,0.611087212158,605.083333333,1.878,1053.64407007,26.664092540740967,0.0,0.62049,50.5139557174,2337.0841841697693,1200,0.619945,0.00648862263188,0.6130311489105225,-0.00575796980411,1.87975,14.41221570968628,14.402622699737549,74.82876753807068,0.0,1200,0.0,0.00575796980411,6.54044,2.58333333333,6.55187,1100.0,14.966277360916138
0.0,0.07846856117248535,0.0651967291368,2900.0,0.6035687923431396,0.605042647371,640.083333333,1.86135,1110.50363637,22.85193157196045,1.39698386192e-09,0.614455,87.1778195542,2414.8196561336517,1200,0.615025,0.00682477140799,0.6934952735900879,-0.00357701606117,1.85925,17.88442039489746,16.501246213912964,76.26495218276978,0.0,1200,0.0,0.00357701745816,6.43241,8.16666666667,6.41889,1600.0,14.56145691871643
0.0,0.09288620948791504,0.088727934277,2900.0,0.6027352809906006,0.59259241536,632.75,1.83422,1098.42422171,26.216838598251343,-4.65661287308e-10,0.606586,113.492535242,2490.8085350990295,1200,0.606763,0.00726308114827,0.6067855358123779,-0.00296904938295,1.83376,14.243349075317383,14.400388479232788,73.71159672737122,0.0,1200,0.0,0.00296904891729,6.26023,11.6666666667,6.25734,1600.0,14.541619062423706
0.0,0.06888747215270996,0.0756380460334,3000.0,0.6395244598388672,0.591849179554,667.5,1.82008,1157.70336586,24.8547842502594,-1.16415321827e-10,0.601745,107.880592426,2570.8716521263123,1200,0.603223,0.00547239743173,0.6637618541717529,-0.000956502044573,1.81517,17.434211254119873,15.87383508682251,78.3162350654602,0.0,1200,0.0,0.000956501928158,6.17234,11.3333333333,6.14211,1900.0,15.625410795211792
0.0,0.07703423500061035,0.0536825104014,2900.0,0.6023814678192139,0.596373901244,664.083333333,1.79445,1151.68788873,22.71207880973816,-9.31322574615e-10,0.596606,90.3210323728,2643.4448528289795,1200,0.595796,0.00865349080414,0.6119809150695801,-0.00120349426288,1.79714,14.452131986618042,14.532997846603394,70.71208429336548,0.0,1200,0.0,0.00120349333156,6.01618,7.66666666667,6.03237,1500.0,14.616781949996948
0.0,0.07637882232666016,0.0497694089492,3000.0,0.6341218948364258,0.5973008834,655.666666667,1.73738,1137.44650668,24.542278289794922,2.79396772385e-09,0.57866,79.9947480915,2725.9786767959595,1200,0.578348,0.00831468310207,0.6783788204193115,-0.00260124192573,1.73829,20.624542951583862,15.665902137756348,80.7354621887207,0.0,1200,0.0,0.0026012447197,5.68244,5.08333333333,5.68761,2000.0,15.465386390686035
0.0,0.08272457122802734,0.0330266949585,2900.0,0.5937440395355225,0.594223774418,648.833333333,1.70147,1126.53538436,22.613256692886353,9.31322574615e-10,0.56792,67.7986705048,2800.4209427833557,1200,0.568441,0.0053822491318,0.6557643413543701,-0.00230914959684,1.69977,15.535698890686035,15.719375371932983,72.5923228263855,0.0,1200,0.0,0.00230915052816,5.48202,3.41666666667,5.47269,1700.0,14.370663404464722
0.0,0.07323241233825684,0.0323766727437,2700.0,0.630302906036377,0.611821211268,588.5,1.67813,1026.06095498,26.788461446762085,2.79396772385e-09,0.562199,59.009827336,2880.2693622112274,1200,0.562215,0.00638594664633,0.6412391662597656,-0.00411008298397,1.67791,16.50538682937622,15.087786197662354,78.0122754573822,0.0,1200,0.0,0.00411008577794,5.35553,3.08333333333,5.35437,1700.0,15.157922506332397
0.0,0.08411121368408203,0.0519239806078,3000.0,0.6113154888153076,0.593918228401,661.583333333,1.66573,1147.56226834,23.564353227615356,2.27009877563e-09,0.558576,78.5477561742,2956.5129086971283,1200,0.559204,0.00838106684387,0.6672730445861816,-0.00237761321478,1.66323,15.607544183731079,15.86167573928833,74.25940036773682,0.0,1200,0.0,0.00237761548487,5.28955,5.5,5.2763,1500.0,14.800929069519043
0.0,0.07628607749938965,0.0633232885986,3000.0,0.6071467399597168,0.588418138186,662.333333333,1.65311,1148.7012473,22.73310923576355,1.39698386192e-09,0.555542,83.6709411259,3031.972325563431,1200,0.555415,0.00972069893032,0.6655454635620117,-0.00232915719971,1.65345,16.832383155822754,15.465441226959229,73.91744637489319,0.0,1200,0.0,0.00232915859669,5.22318,7.58333333333,5.22495,1700.0,14.50368332862854
0.0,0.07536125183105469,0.0295343285964,2900.0,0.6273000240325928,0.607774572411,657.416666667,1.63647,1140.34862786,23.826789379119873,-6.98491930962e-10,0.551046,63.838119925,3111.814142227173,1200,0.550843,0.00619153631851,0.6525259017944336,-0.0025750529021,1.63707,18.761537075042725,15.409314155578613,77.52007627487183,0.0,1200,0.0,0.00257505220361,5.13701,2.83333333333,5.14007,1600.0,15.184225082397461
0.0,0.07409286499023438,0.027603637834,2800.0,0.5950887203216553,0.618422535738,610.166666667,1.61196,1061.16130044,22.61924648284912,-1.39698386192e-09,0.544072,49.7616541347,3187.7807335853577,1200,0.54442,0.00312040536664,0.6600315570831299,-0.0022919930052,1.61039,17.03186011314392,15.611607789993286,74.09155035018921,0.0,1200,0.0,0.00229199160822,5.0126,2.66666666667,5.00477,1300.0,14.453151226043701
0.0,0.10499215126037598,0.0128917170182,2900.0,0.6207959651947021,0.611731980409,645.583333333,1.60575,1120.22192432,26.717882871627808,-1.16415321827e-09,0.54293,26.7519469696,3264.730807542801,1200,0.543113,0.0080925244838,0.6157021522521973,-0.00468545313925,1.60486,14.465791940689087,14.557644844055176,75.10003161430359,0.0,1200,0.0,0.00468545197509,4.9816,1.0,4.97717,900.0,14.994936466217041
0.0,0.07773280143737793,0.046679278133,2900.0,0.6183145046234131,0.604918802535,653.583333333,1.58311,1133.59479521,23.824326992034912,1.62981450558e-09,0.537022,71.6751448474,3344.3471479415894,1200,0.537993,0.00760964956135,0.6940953731536865,-0.00218951283023,1.57969,17.828872680664062,16.54398202896118,77.84237122535706,0.0,1200,0.0,0.00218951446004,4.87008,4.58333333333,4.85347,1600.0,15.08317756652832
0.0,0.07981491088867188,0.0137235224757,2800.0,0.5928199291229248,0.577131334208,553.583333333,1.57581,967.679609369,22.543992042541504,-9.31322574615e-10,0.534287,33.1323105141,3416.737879514694,1200,0.535316,0.0066450862214,0.6210751533508301,-0.00106973818038,1.57176,14.59107494354248,14.682159423828125,70.65385365486145,0.0,1200,0.0,0.00106973724905,4.83468,1.5,4.81511,800.0,14.413935899734497
0.0,0.07152724266052246,0.0259146053114,2900.0,0.6281924247741699,0.612839985261,644.083333333,1.56859,1117.46662578,24.383638381958008,1.16415321827e-09,0.532599,46.5825879487,3500.7536907196045,1200,0.53342,0.00413678586483,0.7022359371185303,-0.00255225226283,1.56532,21.300073623657227,16.428614854812622,82.05163288116455,0.0,1200,0.0,0.00255225342698,4.79985,2.25,4.78422,1200.0,15.481151580810547
