ItrTime,dLoss,1NumTrajs,0MinReturn,0Entropy,1PolicyExecTime,0ProcessExecTime,1EnvExecTime,0MaxReturn,0Perplexity,0AveragePolicyStd,LossAfter,0EnvExecTime,0AverageReturn,1AverageReturn,LossBefore,MeanKLBefore,0ExplainedVariance,1ProcessExecTime,1AveragePolicyStd,1ExplainedVariance,1MaxReturn,1Perplexity,0StdReturn,MeanKL,Time,0PolicyExecTime,1StdReturn,1MinReturn,ComputeUpdatedDistTime,0NumTrajs,1Entropy
73.51651525497437,0.00453878106782,800,0.0,1.88633,27.88869595527649,0.4865572452545166,18.451889276504517,2200.0,6.59511,0.621421,-0.00453877868131,11.023443460464478,130.125,749.0,2.38651409745e-09,7.4505814851e-09,0.146564031016,0.7756412029266357,0.621126,0.491278164915,2900.0,6.58854,412.92249197,0.00852655433118,3506.852471590042,12.204967975616455,1133.99691358,0.0,0.07639050483703613,800,1.88533
72.13910508155823,0.00587841775268,800,0.0,1.83378,28.083083391189575,0.4428987503051758,18.628045558929443,2400.0,6.2575,0.6054,-0.00587841542438,10.006088495254517,126.0,756.25,2.32830643654e-09,0.0,0.118450169045,0.7836577892303467,0.605858,0.47538402289,2800.0,6.26675,378.185139846,0.0078764911741,3580.1236810684204,11.631848812103271,1036.1278577,0.0,0.07552909851074219,800,1.83526
72.8392186164856,0.00303795415675,800,0.0,1.83713,28.064311504364014,0.4660520553588867,18.65306782722473,2300.0,6.27851,0.606392,-0.00303795561194,10.549119710922241,140.875,951.0,-1.45519152284e-09,1.49011629702e-08,0.126911080139,0.7857897281646729,0.607334,0.534773995998,2900.0,6.29816,406.929643028,0.00278111640364,3654.366217851639,11.849966049194336,1180.32792054,0.0,0.06907129287719727,800,1.84026
73.54381275177002,0.00388651306275,800,0.0,1.82448,28.048360347747803,0.7493345737457275,18.47788643836975,2300.0,6.19955,0.602557,-0.00388651178218,10.750816345214844,135.75,698.25,1.2805685401e-09,0.0,0.122627147231,0.7876112461090088,0.601448,0.472623947819,2900.0,6.17646,404.131089499,0.00699139619246,3729.028913974762,12.023640155792236,1121.11415008,0.0,0.07258200645446777,800,1.82075
74.40106916427612,0.0037883836776,800,0.0,1.78402,28.081153869628906,0.4937291145324707,18.828768253326416,2300.0,5.95371,0.590441,-0.00378838228062,11.172723054885864,128.25,701.625,1.39698386192e-09,0.0,0.13330537105,0.7931473255157471,0.590071,0.477264757721,2900.0,5.9462,394.051947718,0.00749109359458,3804.608052253723,12.484477281570435,1139.6424261,0.0,0.06957244873046875,800,1.78275
72.0621349811554,0.00582422084699,800,0.0,1.768,27.877029180526733,0.4534294605255127,18.46099877357483,2300.0,5.85911,0.585709,-0.00582422222942,10.29394268989563,117.0,777.5,-1.38243194669e-09,0.0,0.124647184668,0.7797973155975342,0.585414,0.490936595869,2900.0,5.85309,387.570638723,0.00985312648118,3878.0948071479797,11.658834218978882,1138.46113241,0.0,0.07442378997802734,800,1.76697
71.46538853645325,0.00520474417135,800,0.0,1.75647,28.08209490776062,0.4324190616607666,18.66018557548523,2300.0,5.79198,0.582343,-0.00520474696532,9.788890361785889,133.25,753.875,-2.79396772385e-09,0.0,0.0989590250804,0.7827613353729248,0.583341,0.474005557778,2900.0,5.81185,399.211018761,0.0081015471369,3950.6956927776337,11.188900470733643,1128.38822414,0.0,0.07454133033752441,800,1.7599
73.17558312416077,0.00444939173758,800,0.0,1.74302,28.10492491722107,0.47195935249328613,18.587841749191284,2200.0,5.71457,0.578499,-0.00444939080626,10.587364912033081,119.375,708.5,9.31322574615e-10,0.0,0.0870446914831,0.7824981212615967,0.576652,0.49010159644,2900.0,5.67829,374.849448946,0.00745674548671,4025.3020684719086,12.041308164596558,1127.72015589,0.0,0.07483124732971191,800,1.73665
75.54464292526245,0.00376394623891,800,0.0,1.71388,28.137897491455078,0.5284903049468994,18.58856201171875,1900.0,5.55044,0.570113,-0.00376394763589,11.905755996704102,122.75,808.125,-1.39698386192e-09,0.0,0.100676585335,0.7887892723083496,0.568824,0.453478180605,2800.0,5.52495,364.358940469,0.00862188171595,4101.990343809128,13.07860541343689,1021.46780878,0.0,0.07742881774902344,800,1.70927
71.83688807487488,0.00356908026151,800,0.0,1.71386,28.123067378997803,0.4391603469848633,18.605729579925537,2400.0,5.55034,0.57011,-0.00356908235699,9.920515298843384,123.625,764.375,-2.09547579288e-09,0.0,0.102437873219,0.7853868007659912,0.570204,0.456342272046,3000.0,5.55156,381.941565393,0.00748064182699,4175.285892963409,11.344180583953857,1141.02732631,0.0,0.07190489768981934,800,1.71408
