0AverageReturn,0NumTrajs,ItrTime,0MaxReturn,0AveragePolicyStd,ComputeUpdatedDistTime,1MinReturn,dLoss,0ExplainedVariance,1ExplainedVariance,1NumTrajs,0PolicyExecTime,1ProcessExecTime,MeanKLBefore,LossBefore,0MinReturn,0Entropy,1PolicyExecTime,1AveragePolicyStd,0StdReturn,0Perplexity,Time,1Entropy,1MaxReturn,0ProcessExecTime,LossAfter,0EnvExecTime,1Perplexity,1EnvExecTime,MeanKL,1AverageReturn,1StdReturn
35.8125,1600,116.06328272819519,2100.0,0.643471,0.11719417572021484,0.0,0.00611340068281,0.12396922587,0.576846457111,1600,31.072270154953003,0.9231433868408203,0.0,2.79396772385e-09,0.0,1.95276,38.31991958618164,0.64279,210.976811152,7.04815,4059.079991340637,1.95052,2900.0,0.9768385887145996,-0.00611339788884,20.438168048858643,7.03233,20.19622230529785,0.00680319732055,1221.3125,1237.73564518
19.9375,1600,105.032461643219,1900.0,0.633059,0.09127354621887207,0.0,0.00574134924682,0.0868871021888,0.585276323778,1600,24.334315299987793,0.875159740447998,0.0,-1.7462298274e-10,0.0,1.9208,35.62198257446289,0.634216,152.549159597,6.82641,4166.912939548492,1.92433,2900.0,0.902662992477417,-0.00574134942144,19.469756841659546,6.85059,19.66940140724182,0.00808869767934,1246.1875,1255.92016659
12.75,1600,107.27531552314758,2000.0,0.614076,0.09152531623840332,0.0,0.0101522147306,0.104337452039,0.578244487657,1600,25.50936484336853,0.8897964954376221,0.0,5.23868948221e-10,0.0,1.86074,36.80870819091797,0.614312,123.692916127,6.4285,4277.205256223679,1.86147,3000.0,0.899090051651001,-0.0101522142068,19.275484800338745,6.43317,19.73002004623413,0.00952901039273,818.0,1101.47106181
8.875,1600,107.84620356559753,2000.0,0.60239,0.10346508026123047,0.0,0.00710906821769,0.0737195726751,0.589768689827,1600,23.385507106781006,0.8888731002807617,0.0,8.14907252789e-10,0.0,1.82315,39.52942633628845,0.604772,109.069860067,6.19134,4388.000341892242,1.83097,2900.0,0.898343563079834,-0.00710906740278,19.400243997573853,6.23992,19.507126331329346,0.0065844473429,1133.0625,1157.07632466
3.3125,1600,102.00486946105957,1500.0,0.591033,0.09796428680419922,0.0,0.00583544594701,0.0427956673449,0.631919568603,1600,22.132798671722412,0.8591341972351074,0.0,-1.51339918375e-09,0.0,1.78562,34.92935109138489,0.591258,60.479561372,5.9633,4492.848331451416,1.78641,2900.0,0.9079098701477051,-0.00583544746041,19.716981172561646,5.96799,19.23297929763794,0.00703518185765,634.6875,1101.29039192
7.5625,1600,108.84469890594482,1800.0,0.580527,0.10554838180541992,0.0,0.00335908669513,0.0722366935045,0.631444975319,1600,24.06016778945923,0.9050428867340088,0.0,1.16415321827e-10,0.0,1.75007,39.32350039482117,0.580201,91.6463779631,5.75499,4604.494691133499,1.74891,2900.0,0.9249489307403564,-0.00335908657871,19.500324010849,5.74831,19.969656944274902,0.0097575141117,647.5,1123.51846892
7.3125,1600,102.51034450531006,1800.0,0.563915,0.10396909713745117,0.0,0.00393868994433,0.0757374160747,0.628666789982,1600,24.58924698829651,0.8473238945007324,1.49011585293e-08,1.51339918375e-09,0.0,1.69144,33.46245765686035,0.564766,95.9311072789,5.42727,4710.188304185867,1.69449,2900.0,0.9348957538604736,-0.00393868843094,19.53367829322815,5.44387,18.95745587348938,0.00682502985001,646.4375,1121.81763607
8.8125,1600,106.63102102279663,2000.0,0.549705,0.10423564910888672,0.0,0.00299029238522,0.0809076161301,0.604861764909,1600,26.40663194656372,0.8620285987854004,0.0,2.32830643654e-10,0.0,1.64068,35.716495990753174,0.550021,111.259111284,5.15867,4819.827117919922,1.6418,2900.0,0.905097484588623,-0.00299029215239,19.391480922698975,5.16444,19.35502529144287,0.00736020738259,658.0,1141.68669082
6.9375,1600,103.36736273765564,1600.0,0.541086,0.10499906539916992,0.0,0.0069284059573,0.0663719686106,0.591720663645,1600,21.61342191696167,0.8788633346557617,0.0,2.09547579288e-09,0.0,1.60904,36.71306610107422,0.541575,85.5606281753,4.99799,4926.100860357285,1.61087,3000.0,0.8984487056732178,-0.00692840386182,19.317643642425537,5.00716,19.69574546813965,0.00714988587424,1071.25,1144.73727881
5.375,1600,104.23300242424011,1500.0,0.534077,0.09431242942810059,0.0,0.00310933077708,0.0819142368048,0.628352670206,1600,26.000373601913452,0.854661226272583,0.0,2.09547579288e-09,0.0,1.5832,33.610344648361206,0.534053,76.7046893938,4.87053,5033.229770898819,1.58308,3000.0,0.9106960296630859,-0.0031093286816,19.39728283882141,4.86993,19.313345909118652,0.00675920955837,653.1875,1134.78625293
