1MaxReturn,1StdReturn,1MinReturn,0MaxReturn,1PolicyExecTime,LossBefore,0Perplexity,1ExplainedVariance,1AverageReturn,1EnvExecTime,0StdReturn,ComputeUpdatedDistTime,1NumTrajs,1Perplexity,MeanKLBefore,1ProcessExecTime,0EnvExecTime,0AverageReturn,0MinReturn,0ProcessExecTime,Time,1AveragePolicyStd,dLoss,0AveragePolicyStd,LossAfter,ItrTime,MeanKL,0Entropy,0NumTrajs,0ExplainedVariance,1Entropy,0PolicyExecTime
39500.0,10792.3955838,0.0,28600.0,93.56012082099915,-5.23868948221e-10,16.0106,0.36004792062,9295.25,70.03536128997803,6838.93149549,0.618206262588501,400,16.0324,-1.11758668986e-09,2.464808464050293,63.30440664291382,3896.0,0.0,2.4928276538848877,6479.742392778397,0.96897,0.00482418335741,0.968297,-0.00482418388128,289.7037122249603,0.00967102777213,2.77325,400,0.0716105500796,2.77461,43.96584677696228
35000.0,8458.54375395,0.0,29100.0,93.52852654457092,-8.67294125406e-10,16.0877,0.226947481497,8175.25,69.78480005264282,5683.6338728,0.4684789180755615,400,16.1562,-2.16533146968e-09,2.570404052734375,63.368807315826416,2484.0,0.0,2.3988473415374756,6765.733814239502,0.97284,0.00446195068653,0.970735,-0.00446195155382,284.6489374637604,0.00814358703792,2.77806,400,0.0265883206617,2.7823,38.78995966911316
35900.0,8824.54461998,0.0,32900.0,93.21308779716492,-9.93895854506e-10,16.0973,0.286031626934,7978.5,69.8809802532196,6033.14907407,0.5421979427337646,400,16.1004,-1.21072030179e-09,2.6062896251678467,62.12582588195801,2778.5,0.0,2.581861734390259,7048.510352134705,0.971022,0.0045194923252,0.970928,-0.00451949331909,280.6959602832794,0.00907946564257,2.77865,400,0.0289920753691,2.77884,38.6460976600647
39500.0,10239.6334773,0.0,31700.0,100.2948408126831,-5.41331257597e-10,16.1293,0.196701398721,9362.5,73.62437534332275,5946.50603296,0.519176721572876,400,16.2106,-4.19090928627e-10,2.745117664337158,61.72709655761719,2096.0,0.0,2.4108481407165527,7340.209490776062,0.974274,0.00444748943555,0.971833,-0.00444748997688,290.3665533065796,0.00654114037752,2.78064,400,0.0192290073406,2.78567,34.963706731796265
40600.0,10564.4790187,0.0,23400.0,101.5035994052887,5.76255820839e-10,16.0384,0.104329418969,7444.25,74.99386835098267,4457.44655044,0.4892745018005371,400,16.0899,-6.33299368502e-09,2.7651872634887695,71.39992237091064,1870.5,0.0,2.7541332244873047,7639.626241445541,0.970649,0.00442700238782,0.969085,-0.00442700181156,297.66441106796265,0.00931431818753,2.77499,400,0.0168234780703,2.77819,31.74953269958496
41400.0,11003.5255685,0.0,23900.0,103.97905278205872,6.31189406297e-11,16.2139,0.300361722274,10587.75,78.12196707725525,4412.80625,0.5465002059936523,400,16.1828,-1.58324819921e-09,2.8294076919555664,72.3317232131958,2221.0,0.0,2.8147172927856445,7947.69997215271,0.97344,0.00385332393253,0.974369,-0.00385332386941,306.71904706954956,0.00712290219963,2.78587,400,0.0457427062345,2.78395,30.331404209136963
39300.0,11118.4330028,0.0,28300.0,97.14308476448059,7.13043790679e-11,15.9944,0.213588705841,10404.75,73.27030658721924,3985.43748383,1.3156602382659912,400,16.0306,1.0896481939e-08,2.7193222045898438,71.5784637928009,1725.75,0.0,2.751232147216797,8245.912644386292,0.968835,0.00531987061404,0.967723,-0.00531987054273,296.78414368629456,0.00988904200494,2.77224,400,0.0194536224962,2.7745,31.289519548416138
42400.0,11132.8611973,0.0,39900.0,100.62226629257202,2.82307177635e-10,15.8764,0.235414510083,6688.75,75.36573123931885,6603.76027351,0.484389066696167,400,15.898,3.53902174233e-09,2.983999013900757,73.52940344810486,2225.5,0.0,2.792304515838623,8546.927126407623,0.964843,0.00345578026318,0.964158,-0.00345577998087,299.5040793418884,0.00822181161493,2.76484,400,0.0943485096491,2.7662,30.488478660583496
41100.0,10215.294893,0.0,35500.0,99.69487071037292,1.30967181544e-10,15.9588,0.210785925168,9899.5,73.9151680469513,7519.80968842,0.5151915550231934,400,15.9892,-6.42612185686e-09,2.856278657913208,70.01739573478699,3553.5,0.0,2.716477870941162,8844.762521266937,0.967597,0.00514156617282,0.966656,-0.00514156604186,296.2919805049896,0.00809373427182,2.77001,400,0.0608155818564,2.77191,32.97527480125427
34700.0,9344.10508021,0.0,33300.0,101.3890335559845,-5.12227427141e-10,16.2138,0.136903069495,7049.5,75.16145658493042,6171.23402874,0.4978475570678711,400,16.2217,3.95812188581e-10,2.7757859230041504,70.49213552474976,3106.75,0.0,2.671103000640869,9141.701691150665,0.974706,0.00466134906746,0.974419,-0.00466134957969,295.38749074935913,0.00986294262111,2.78586,400,0.0434747235894,2.78635,30.501657247543335
39300.0,11615.2661157,0.0,38100.0,100.58428311347961,6.89760804029e-10,16.1582,0.146125649147,8808.25,72.41568660736084,6355.39081705,0.7620723247528076,400,16.1551,1.90921412013e-09,2.614084482192993,73.5999116897583,2984.75,0.0,2.782366991043091,9442.271710395813,0.972637,0.00316602549574,0.97272,-0.00316602480598,298.94390320777893,0.00741478567943,2.78243,400,0.0536102392431,2.78224,30.643963098526
42800.0,12369.2553434,0.0,36700.0,97.83729028701782,-2.45563569479e-10,16.1336,0.174418488262,10833.5,68.31965827941895,6854.74724188,0.49839329719543457,400,16.1525,-1.83936121889e-09,2.5406534671783447,71.65694570541382,3509.5,0.0,2.9143900871276855,9733.386119365692,0.972601,0.00453744478182,0.972008,-0.00453744502738,288.2375111579895,0.00734161445871,2.7809,400,0.0463964084313,2.78207,31.224688053131104
44300.0,11355.7097725,0.0,36100.0,97.46334481239319,1.0506483461e-09,15.9111,0.128665159998,8716.75,69.56635332107544,7892.24174427,0.5671133995056152,400,15.9021,-1.95577420925e-09,2.564699649810791,67.5446105003357,4170.5,0.0,2.6279733180999756,10021.354403495789,0.964975,0.00469248893496,0.965233,-0.00469248788431,286.52380418777466,0.00989317428321,2.76702,400,0.0488601804849,2.76645,32.67752265930176
42800.0,13534.8329875,0.0,32600.0,94.80828166007996,7.36326943862e-10,15.6154,0.320382360879,13264.0,67.2943856716156,8620.23433194,0.47152113914489746,400,15.6129,-7.82311282421e-09,2.428112268447876,68.85342407226562,4757.75,0.0,2.6976089477539062,10307.242626190186,0.956132,0.0054852923291,0.956192,-0.00548529159278,284.6350030899048,0.00927995610982,2.74826,400,0.0407553549622,2.74809,34.73977589607239
