1AveragePolicyStd,0MinReturn,0ExplainedVariance,0AverageReturn,0NumTrajs,1ExplainedVariance,0EnvExecTime,ItrTime,1Perplexity,LossAfter,1PolicyExecTime,dLoss,0ProcessExecTime,1ProcessExecTime,0Entropy,0MaxReturn,1MinReturn,LossBefore,MeanKL,1StdReturn,1AverageReturn,0Perplexity,MeanKLBefore,1NumTrajs,0StdReturn,1MaxReturn,0PolicyExecTime,1Entropy,Time,0AveragePolicyStd,1EnvExecTime,ComputeUpdatedDistTime
0.927853,0.0,0.072022443648,1341.2,2000,0.0872849359291,157.15675711631775,754.8928079605103,14.6725,-0.00190178304911,248.18401908874512,0.00190178098273,6.112759351730347,5.826397180557251,2.68785,19200.0,0.0,-2.06637196243e-09,0.00650944327936,3538.77129948,1611.3,14.7001,-9.31321131326e-10,2000,3097.84643906,20100.0,152.30763506889343,2.68597,32100.473176002502,0.928757,156.15256452560425,0.2767527103424072
0.926366,0.0,0.0762228171451,1387.45,2000,0.101345738358,157.60153603553772,757.7778332233429,14.6359,-0.00236080773175,248.9971239566803,0.00236080872128,6.095086336135864,5.865799427032471,2.68231,19500.0,0.0,9.89530235529e-10,0.00942476093769,3754.437906,1855.1,14.6188,-9.31320909281e-10,2000,3204.41687324,20100.0,152.46136856079102,2.68348,32862.23717164993,0.925819,156.93931245803833,0.27901339530944824
0.929829,0.0,0.0747957826509,1360.1,2000,0.0971016920545,157.61297035217285,757.4863617420197,14.7413,-0.00235542561859,248.88801264762878,0.00235542580231,6.171656847000122,5.848232746124268,2.68951,18600.0,0.0,1.83717929758e-10,0.00956918206066,3777.18960042,1771.65,14.7245,-3.25962212777e-09,2000,3162.22042084,20900.0,152.5044915676117,2.69065,33624.30729341507,0.929267,156.2651104927063,0.3020951747894287
0.923598,0.0,0.0640286028892,1298.1,2000,0.0919743123622,158.3382387161255,759.6368882656097,14.5286,-0.00244475994259,249.69937658309937,0.00244475726504,6.157214164733887,5.8257622718811035,2.67459,19500.0,0.0,-2.67755240202e-09,0.00992818456143,3661.35454579,1676.7,14.5064,9.31321242348e-10,2000,3045.23667225,21400.0,153.62945175170898,2.67612,34388.02276754379,0.922843,157.09061074256897,0.30779266357421875
0.915511,0.0,0.071149360974,1414.6,2000,0.0910196589182,159.65726780891418,759.5183098316193,14.2617,-0.00163950351998,248.16569924354553,0.00163950401839,6.204488039016724,5.780225038528442,2.65952,17900.0,0.0,4.98403096572e-10,0.0066898567602,3792.69407908,1757.85,14.2894,-5.58794033267e-09,2000,3132.25746707,20000.0,153.52849340438843,2.65758,35151.95035457611,0.9163,155.62801504135132,0.2748546600341797
0.90059,0.0,0.0726276657701,1366.2,2000,0.102834880266,156.24770975112915,756.1941866874695,13.8101,-0.00227588578127,248.7674446105957,0.00227588621055,6.051041841506958,5.833714008331299,2.62581,17600.0,0.0,4.29281499237e-10,0.00940207671374,3831.7617929,1891.25,13.8158,1.76951200359e-08,2000,3003.26448386,19800.0,152.84291696548462,2.6254,35912.44762587547,0.900833,157.103449344635,0.29568052291870117
0.890076,0.0,0.0605882444519,1253.25,2000,0.0850515662671,158.06160855293274,759.89075756073,13.5024,-0.00179423007648,248.72786140441895,0.00179422815563,6.1432318687438965,5.851844787597656,2.60513,18600.0,0.0,-1.92085281014e-09,0.00695770792663,3700.69140027,1735.4,13.533,1.86263460211e-09,2000,2946.77441239,22000.0,153.66567039489746,2.60286,36677.06352710724,0.89112,156.38077449798584,0.2869846820831299
0.870157,0.0,0.066715966804,1245.3,2000,0.083657765177,159.4424705505371,758.4830205440521,12.8949,-0.00222223298624,246.5436327457428,0.00222223319724,6.142071723937988,5.846422910690308,2.55727,19400.0,0.0,2.11002770811e-10,0.00971813313663,3864.39191562,1799.65,12.9005,1.86264237367e-09,2000,2990.79887488,20600.0,154.6898500919342,2.55683,37440.50291442871,0.870301,156.6791319847107,0.24247980117797852
0.854658,0.0,0.0672929448385,1321.15,2000,0.089689117202,156.84673643112183,758.2184882164001,12.454,-0.00253771059215,249.8534767627716,0.00253770986455,6.0998475551605225,5.876652479171753,2.5228,18700.0,0.0,-7.27595761418e-10,0.00990050006658,3906.39420406,1923.65,12.4634,0.0,2000,3058.33413438,20900.0,152.86698246002197,2.52204,38203.108659267426,0.854952,158.0064516067505,0.28403544425964355
0.849531,0.0,0.0656025361467,1368.05,2000,0.092143356757,159.49975848197937,762.165093421936,12.3095,-0.00193681987002,245.87878227233887,0.00193681556266,6.134343862533569,5.841104507446289,2.51158,19900.0,0.0,-4.3073669076e-09,0.00752059742808,4025.36519585,2025.2,12.3243,1.67638241066e-08,2000,3210.27167036,19900.0,155.07712984085083,2.51038,38969.48263669014,0.850069,157.07248544692993,0.2691514492034912
