1Perplexity,0ExplainedVariance,ComputeUpdatedDistTime,dLoss,1ExplainedVariance,0Perplexity,LossBefore,LossAfter,1MinReturn,1PolicyExecTime,0StdReturn,0ProcessExecTime,0EnvExecTime,ItrTime,1StdReturn,0AveragePolicyStd,Time,0MinReturn,0PolicyExecTime,1MaxReturn,1Entropy,1ProcessExecTime,0MaxReturn,1AverageReturn,0AverageReturn,1AveragePolicyStd,MeanKL,1EnvExecTime,MeanKLBefore,0NumTrajs,1NumTrajs,0Entropy
10.7752,0.0737667946325,0.08197617530822754,0.00455209064603,0.495049274892,10.7696,-1.75714376383e-09,-0.00455209240317,0.0,47.34917712211609,184.373055161,0.7385427951812744,17.43001413345337,121.47366905212402,944.958956025,0.794121,2597.6737942695618,0.0,18.99923825263977,2900.0,2.37724,1.3164699077606201,1900.0,882.0,30.9285714286,0.79433,0.0080879656598,31.748801946640015,0.0,1400,1400,2.37673
10.6785,0.0568393062679,0.0798184871673584,0.00461492862087,0.464506803173,10.619,-1.16415321827e-10,-0.00461492873728,0.0,34.664905309677124,155.06489754,0.7359073162078857,17.306031465530396,98.95540452003479,936.356461754,0.788517,2698.7933802604675,0.0,19.066946029663086,2800.0,2.36823,0.953812837600708,1900.0,783.071428571,23.8571428571,0.79076,0.00905435625464,22.46940302848816,-7.45059214324e-09,1400,1400,2.36264
10.6247,0.0664822495224,0.08103036880493164,0.00356943786028,0.416701572504,10.5952,6.69388100505e-10,-0.00356943719089,0.0,40.817522048950195,156.843464795,0.8271112442016602,19.13717484474182,112.49837279319763,1088.15831822,0.787636,2813.4560799598694,0.0,19.504403591156006,2900.0,2.36318,1.1265573501586914,1800.0,989.785714286,24.6428571429,0.788766,0.00766287231818,27.11580181121826,3.72529163073e-09,1400,1400,2.3604
10.3922,0.0610356426022,0.0767664909362793,0.00534570612945,0.449430105736,10.3671,1.62981450558e-09,-0.00534570449963,0.0,37.163692474365234,159.817737388,0.7963697910308838,18.76640820503235,105.91678857803345,894.212317276,0.779097,2921.574456214905,0.0,19.986562252044678,2700.0,2.34105,1.029372215270996,1700.0,683.785714286,26.0714285714,0.780044,0.00750158587471,24.367326498031616,-3.72529207482e-09,1400,1400,2.33863
10.0145,0.0676056419692,0.07900524139404297,0.00264674398932,0.502009475741,10.0497,-9.60426405072e-10,-0.00264674494974,0.0,40.38215708732605,155.638513674,0.7663545608520508,17.860177993774414,109.36363482475281,973.937767781,0.767078,3033.0267651081085,0.0,18.67598032951355,2900.0,2.30404,1.1180243492126465,1800.0,913.714285714,23.7142857143,0.765748,0.0088176978752,26.695909023284912,7.45058414964e-09,1400,1400,2.30754
9.78195,0.0506220304605,0.08323121070861816,0.00715618929826,0.487732643351,9.82304,-1.62981450558e-09,-0.00715619092807,0.0,47.39462399482727,131.596088894,0.6489245891571045,15.45902419090271,118.30410861968994,929.368438176,0.758379,3153.473740339279,0.0,17.716076135635376,2900.0,2.28054,1.3091042041778564,1700.0,745.857142857,18.4285714286,0.756804,0.00896538235247,31.86472201347351,2.23517400144e-08,1400,1400,2.28473
9.69253,0.0654383446092,0.08321762084960938,0.00636906159343,0.474119047571,9.62701,2.1536834538e-09,-0.00636905943975,0.0,47.16857981681824,133.214496361,0.7763378620147705,18.539954900741577,123.7984447479248,967.579338096,0.750773,3279.4027202129364,0.0,20.643517017364502,2900.0,2.27136,1.300675630569458,1700.0,791.285714286,18.4285714286,0.753337,0.00672644283623,31.311903953552246,2.23517435671e-08,1400,1400,2.26457
9.31216,0.057783017491,0.0774850845336914,0.00592644629069,0.470888113082,9.29862,2.09547579288e-09,-0.00592644419521,0.0,47.76821994781494,123.986174344,0.8283941745758057,19.680652379989624,126.93701076507568,941.905970436,0.737857,3408.4693627357483,0.0,21.337186813354492,2900.0,2.23132,1.3338758945465088,1600.0,766.0,16.0,0.738406,0.00759472185746,31.970824241638184,0.0,1400,1400,2.22987
9.25441,0.0572319589039,0.07720804214477539,0.00349838641705,0.45117021094,9.18333,7.56699591875e-10,-0.00349838566035,0.0,46.74142408370972,147.367096818,0.826045036315918,19.469966411590576,124.61829137802124,866.762304705,0.733282,3535.2415437698364,0.0,21.304266691207886,2800.0,2.2251,1.2967603206634521,1800.0,630.5,20.2857142857,0.736117,0.00362018402666,31.10103678703308,0.0,1400,1400,2.21739
9.08124,0.063900534508,0.08344364166259766,0.00654615042731,0.473564563624,9.10639,1.86264514923e-09,-0.00654614856467,0.0,45.96072483062744,149.658642195,0.7480411529541016,17.773590564727783,120.29810404777527,922.631540315,0.730197,3657.696686267853,0.0,19.845665454864502,2800.0,2.20621,1.2750084400177002,1800.0,621.571428571,21.9285714286,0.729202,0.00788117200136,30.714468240737915,1.49011629702e-08,1400,1400,2.20898
8.7424,0.0732342728486,0.07714509963989258,0.00739103890373,0.523679557516,8.74523,-3.78349795938e-10,-0.00739103928208,0.0,47.66071534156799,125.283169057,0.9088690280914307,21.30504822731018,129.79426264762878,964.589105711,0.715568,3789.6825544834137,0.0,22.586817502975464,2800.0,2.16818,1.3220412731170654,1500.0,805.0,17.6428571429,0.715454,0.00894875731319,31.97791862487793,0.0,1400,1400,2.16851
8.58017,0.0685920811224,0.07712125778198242,0.00562037329655,0.511561731934,8.58762,8.14907252789e-10,-0.00562037248164,0.0,45.24135088920593,145.934777156,0.7263901233673096,17.14301872253418,117.29853987693787,1066.91006975,0.709126,3909.1705107688904,0.0,19.057892084121704,2900.0,2.14945,1.2583966255187988,1500.0,865.214285714,20.4285714286,0.708833,0.00895216874778,30.13043713569641,0.0,1400,1400,2.15032
8.49719,0.0606337378461,0.07989954948425293,0.00394117482938,0.521240868097,8.44888,1.16415321827e-09,-0.00394117366523,0.0,46.55940365791321,122.636658467,0.7066833972930908,16.578599452972412,119.15478730201721,1039.99127744,0.703377,4030.4772021770477,0.0,18.81955599784851,2900.0,2.13974,1.29331636428833,1700.0,819.0,14.5,0.705374,0.00878617819399,31.29176640510559,0.0,1400,1400,2.13403
8.47117,0.120598012687,0.07475471496582031,0.00559117970988,0.497909014023,8.4511,-9.31322574615e-10,-0.0055911806412,0.0,45.681880235672,142.822692275,0.8467910289764404,19.46859574317932,122.71922492980957,997.464620108,0.703546,4155.390882730484,0.0,21.035038948059082,2900.0,2.13667,1.274219274520874,1800.0,799.785714286,19.5,0.704387,0.00694971298799,30.438202381134033,-7.45058237328e-09,1400,1400,2.1343
8.41298,0.166447349494,0.0792078971862793,0.00517108137137,0.520116544161,8.39449,-2.00816430151e-09,-0.00517108337954,0.0,47.54748272895813,137.083897296,0.8333401679992676,19.323501110076904,125.3693835735321,911.718938856,0.701212,4282.904628038406,0.0,20.89785361289978,2900.0,2.12978,1.3103485107421875,1700.0,655.071428571,16.9285714286,0.701957,0.00503036892042,31.474010705947876,1.49011665229e-08,1400,1400,2.12758
8.21807,0.0704494603371,0.0840754508972168,0.00739033706486,0.538131950164,8.23757,-1.86264514923e-09,-0.00739033892751,0.0,46.23617148399353,113.727565628,0.8735692501068115,20.304372549057007,125.63169956207275,983.932250447,0.694679,4410.402997493744,0.0,21.985394716262817,2900.0,2.10634,1.2867417335510254,1400.0,752.428571429,13.4285714286,0.693852,0.0080262478441,31.019089221954346,0.0,1400,1400,2.10871
7.93803,0.102302663955,0.07688736915588379,0.00664137117565,0.518069248041,7.9528,3.25962901115e-09,-0.00664136791602,0.0,46.15605449676514,160.625753393,0.8662667274475098,20.42794132232666,125.40801358222961,987.491152117,0.68262,4538.309131145477,0.0,22.152124166488647,2900.0,2.07167,1.2881669998168945,1900.0,764.285714286,23.2857142857,0.681964,0.00883715972304,30.61989188194275,0.0,1400,1400,2.07352
7.68215,0.119581186915,0.09116268157958984,0.00574705554754,0.514869586545,7.70468,2.70665623248e-09,-0.00574705284089,0.0,45.45594239234924,147.120941502,0.7821321487426758,18.298431634902954,119.80709648132324,1058.81787906,0.671957,4660.286748170853,0.0,19.835798501968384,2900.0,2.0389,1.2711100578308105,1700.0,920.642857143,22.0,0.670957,0.00907381437719,30.226878881454468,0.0,1400,1400,2.04183
7.61261,0.0922292007537,0.07291054725646973,0.00566008524038,0.508762803187,7.62374,1.62981450558e-09,-0.00566008361056,0.0,44.96012759208679,116.162359986,0.8016982078552246,18.479426622390747,120.35479474067688,947.076608327,0.668532,4782.505131483078,0.0,20.609517812728882,2800.0,2.02981,1.2752857208251953,1700.0,729.571428571,13.8571428571,0.668077,0.00681818649173,30.328939199447632,0.0,1400,1400,2.03127
7.48188,0.0740868459796,0.07956433296203613,0.00359326219768,0.503559497532,7.53935,-5.20958565176e-09,-0.00359326740727,0.0,42.71028542518616,144.57756904,0.7854824066162109,18.56548762321472,115.63550353050232,1024.23683635,0.664873,4900.553785562515,0.0,20.252896547317505,2900.0,2.01248,1.1756830215454102,1800.0,781.785714286,19.5714285714,0.662362,0.00872337631881,28.318788051605225,-7.45058326146e-09,1400,1400,2.02014
7.41242,0.106251567453,0.08266043663024902,0.00408433820121,0.549315153893,7.43102,-1.16415321827e-09,-0.00408433936536,0.0,47.784568548202515,145.76677976,0.6825027465820312,16.173829078674316,120.31959843635559,1067.34188238,0.660071,5023.0689351558685,0.0,18.248344659805298,2900.0,2.00316,1.3123486042022705,1800.0,861.142857143,17.7857142857,0.659221,0.00678420811892,32.183945178985596,0.0,1400,1400,2.00566
