0AverageReturn,1MinReturn,1Perplexity,1ExplainedVariance,0PolicyExecTime,1AverageReturn,1NumTrajs,1EnvExecTime,dLoss,0NumTrajs,1Entropy,0Entropy,MeanKL,LossBefore,ItrTime,0ProcessExecTime,1MaxReturn,0Perplexity,1AveragePolicyStd,0ExplainedVariance,0StdReturn,1PolicyExecTime,0EnvExecTime,1ProcessExecTime,0MinReturn,0AveragePolicyStd,MeanKLBefore,LossAfter,0MaxReturn,Time,1StdReturn,ComputeUpdatedDistTime
342.0,0.0,11.765,0.136240485638,2.4828643798828125,437.5,200,2.276453733444214,0.00421897973865,200,2.46513,2.47399,0.00569476280361,1.86264514923e-09,12.00252628326416,0.10276079177856445,2700.0,11.8697,0.831231,0.0832578903599,752.154239501,3.839583396911621,2.4103760719299316,0.09332466125488281,0.0,0.834928,0.0,-0.00421897787601,2400.0,609.1539261341095,893.72464999,0.0963752269744873
375.0,0.0,11.7913,0.200366214143,2.804992914199829,578.5,200,2.446197509765625,0.00584690319374,200,2.46737,2.48426,0.00817281007767,1.86264514923e-09,12.982543706893921,0.10908007621765137,2900.0,11.9922,0.832509,0.107532169245,788.907472395,4.1310975551605225,2.5089519023895264,0.10064840316772461,0.0,0.839578,-3.72529029846e-09,-0.0058469013311,2700.0,622.4784510135651,1039.51322743,0.09520220756530762
400.0,0.0,11.7152,0.111021471904,2.52177357673645,432.0,200,2.3348889350891113,0.00600989698432,200,2.46089,2.46472,0.00655253045261,2.32830643654e-10,12.285523414611816,0.10767459869384766,2600.0,11.7602,0.829819,0.119596506478,785.811682275,3.9499566555023193,2.42134690284729,0.09721159934997559,0.0,0.831342,0.0,-0.00600989675149,2500.0,635.1830158233643,832.031249413,0.08147454261779785
433.0,0.0,11.4656,0.21895505879,2.800846576690674,621.5,200,2.382678747177124,0.00324100535363,200,2.43935,2.44736,0.00860025081784,-2.79396772385e-09,12.593178033828735,0.10764813423156738,2800.0,11.5578,0.820738,0.072130156405,827.593499249,3.9043381214141846,2.475890874862671,0.09640765190124512,0.0,0.824084,0.0,-0.0032410081476,2400.0,648.1072397232056,1079.94803116,0.08505392074584961
433.5,0.0,11.2817,0.172694316676,2.515568256378174,572.5,200,2.4600627422332764,0.000270230695605,200,2.42318,2.43355,0.00413526734337,3.25962901115e-09,12.598085165023804,0.10618019104003906,2800.0,11.3993,0.81493,0.0757910478458,828.690382471,4.132410049438477,2.429138422012329,0.09651923179626465,0.0,0.819207,0.0,-0.000270227435976,2500.0,661.5551426410675,1017.73952955,0.08184027671813965
397.0,0.0,11.4053,0.176119237487,2.7332072257995605,570.5,200,2.3317911624908447,0.00696649029851,200,2.43408,2.44242,0.00817384012043,0.0,12.362110137939453,0.09968256950378418,2700.0,11.5009,0.819769,0.0728251476092,785.233086414,3.9107110500335693,2.340848207473755,0.0972299575805664,0.0,0.823313,-3.72529029846e-09,-0.00696649029851,2500.0,674.2691674232483,999.889868936,0.0762639045715332
383.5,0.0,11.0354,0.212370440127,2.366513729095459,620.0,200,2.4922516345977783,0.0056749433279,200,2.40111,2.4053,0.00718355132267,-1.39698386192e-09,12.853033542633057,0.10104632377624512,2900.0,11.0817,0.805908,0.0831148982578,796.289991146,4.236494064331055,2.3585968017578125,0.09951210021972656,0.0,0.807767,3.72529029846e-09,-0.00567494472489,2600.0,687.5692226886749,1080.41658632,0.09854388236999512
397.0,0.0,10.8208,0.119511216983,2.568646192550659,490.5,200,2.5266470909118652,0.00588294118643,200,2.38147,2.38728,0.00924621522427,9.31322574615e-10,13.020877599716187,0.11054539680480957,2800.0,10.8838,0.797639,0.0829576773649,805.227297103,4.305068731307983,2.5295345783233643,0.10621762275695801,0.0,0.800135,3.72529029846e-09,-0.00588294025511,2600.0,700.9241681098938,922.041078261,0.09254193305969238
438.0,0.0,10.7816,0.153894053636,2.4913837909698486,516.0,200,2.4188430309295654,0.00595729332417,200,2.37784,2.38857,0.0086062559858,9.31322574615e-10,12.783291816711426,0.10312414169311523,2800.0,10.8979,0.796559,0.0535726653152,830.696093647,4.42197322845459,2.418421983718872,0.10184288024902344,0.0,0.800979,3.72529029846e-09,-0.00595729239285,2600.0,714.0563087463379,987.949391416,0.0888967514038086
495.0,0.0,10.6134,0.22783481599,2.4902167320251465,624.0,200,2.3099398612976074,0.00481794634834,200,2.36212,2.36107,0.00644591543823,4.65661287308e-10,12.089496612548828,0.10306859016418457,2800.0,10.6023,0.790376,0.102160020111,894.860324296,3.8642160892486572,2.416731834411621,0.0967264175415039,0.0,0.790091,0.0,-0.00481794588268,2600.0,726.8945279121399,1084.21584567,0.07700252532958984
