0AveragePolicyStd,0PolicyExecTime,LossBefore,0Perplexity,ComputeUpdatedDistTime,1Perplexity,1MaxReturn,0EnvExecTime,0ProcessExecTime,0AverageReturn,ItrTime,1AveragePolicyStd,0NumTrajs,1ExplainedVariance,MeanKLBefore,0MaxReturn,dLoss,MeanKL,0Entropy,Time,1StdReturn,1Entropy,1NumTrajs,1AverageReturn,0StdReturn,0ExplainedVariance,1PolicyExecTime,0MinReturn,LossAfter,1EnvExecTime,1MinReturn,1ProcessExecTime
0.677668,45.567912340164185,1.39698386192e-09,7.79248,0.15282058715820312,7.81716,2900.0,21.132324695587158,1.0092182159423828,12.8333333333,166.91075253486633,0.67882,1200,0.574496147027,0.0,1900.0,0.00203028833494,0.00855059083551,2.05316,5636.205376148224,1139.86781641,2.05632,1200,657.166666667,131.600299729,0.0531585840149,69.94918990135193,0.0,-0.00203028693795,22.765920877456665,0.0,1.0520706176757812
0.673878,38.512582778930664,-8.14907252789e-10,7.68243,0.11982488632202148,7.6905,2900.0,22.006369829177856,1.0754406452178955,16.0833333333,141.56596684455872,0.674333,1200,0.567545614319,7.4505774883e-09,2000.0,0.00184866809286,0.00814931932837,2.03894,5780.898205280304,1154.02840327,2.03999,1200,665.333333333,158.796493629,0.0619958583232,49.39564228057861,0.0,-0.00184866890777,24.34755039215088,0.0,1.1366195678710938
0.658045,42.35790276527405,9.31322574615e-10,7.30011,0.13088154792785645,7.31373,3000.0,21.785123586654663,1.0560286045074463,16.9166666667,165.4479639530182,0.658706,1200,0.573881406074,7.4505774883e-09,2100.0,0.000797163811512,0.00197117752396,1.98789,5949.079157590866,1150.18737604,1.98975,1200,663.0,163.111903476,0.0769756900046,70.95909237861633,0.0,-0.00079716288019,22.56111478805542,0.0,1.0521619319915771
0.653359,43.73502826690674,1.16415321827e-09,7.18702,0.13273191452026367,7.17974,3100.0,23.117119550704956,1.155355453491211,9.08333333333,153.19817733764648,0.653179,1200,0.568158535275,0.0,1600.0,0.00377170112915,0.00704031903297,1.97228,6105.488393545151,1076.72337312,1.97126,1200,616.333333333,108.439659361,0.0360980207629,53.78154730796814,0.0,-0.003771699965,25.053258419036865,0.0,1.2777316570281982
0.644163,44.31303882598877,-6.98491930962e-10,6.98534,0.11201763153076172,6.9792,2700.0,20.29824662208557,0.9881582260131836,2.25,157.52566027641296,0.643789,1200,0.60135512471,0.0,1100.0,0.00281694065779,0.00637998664752,1.94381,6265.709230661392,980.222253709,1.94293,1200,559.0,47.1162127086,0.0141549539732,65.427907705307,0.0,-0.00281694135629,21.038623094558716,0.0,0.9578056335449219
0.634773,46.307368516922,1.16415321827e-09,6.76419,0.11282992362976074,6.76419,1900.0,21.959474086761475,1.063401222229004,0.0,152.0198574066162,0.634773,1200,0.0174033043949,0.0,0.0,0.00205063214526,0.00284901820123,1.91164,6420.431479930878,61.1791540387,1.91164,1200,2.66666666667,0.0,1,54.51617884635925,0.0,-0.0020506309811,22.345659732818604,0.0,1.0276446342468262
0.643657,43.81066036224365,-1.7462298274e-09,6.95216,0.1036078929901123,6.95638,2700.0,20.53240966796875,1.0059566497802734,6.08333333333,160.12144684791565,0.643748,1200,0.579014839599,0.0,1400.0,0.00595953466836,0.00862054526806,1.93905,6583.281969547272,955.507878333,1.93966,1200,547.833333333,81.0637180796,0.0406108286242,66.5708909034729,0.0,-0.00595953641459,21.1493980884552,0.0,0.952261209487915
0.638521,41.88698077201843,4.65661287308e-10,6.8223,0.11159539222717285,6.82163,2700.0,21.435394287109375,1.0469746589660645,2.91666666667,147.07296514511108,0.638561,1200,0.561414294393,0.0,1700.0,0.00525148352608,0.00715363537893,1.9202,6733.025567531586,873.277097426,1.9201,1200,490.666666667,61.3717610596,0.0179492253031,55.3322012424469,0.0,-0.00525148306042,21.544145345687866,0.0,0.9788401126861572
0.635787,47.05564904212952,-2.03726813197e-09,6.75093,0.14555811882019043,6.75093,300.0,20.413827657699585,0.9920392036437988,0.0,162.44431710243225,0.635787,1200,0.00705957667237,0.0,0.0,0.00222508335719,0.00948971975595,1.90968,6898.19523191452,8.65664484659,1.90968,1200,0.25,0.0,1,65.86096382141113,0.0,-0.00222508539446,21.245241403579712,0.0,0.9880578517913818
0.636376,37.76466178894043,1.86264514923e-09,6.7678,0.13736939430236816,6.77503,2900.0,21.834177255630493,1.0434041023254395,4.91666666667,143.03226494789124,0.636703,1200,0.592629676249,0.0,1800.0,0.00257773604244,0.00829626340419,1.91218,7043.890586614609,1152.47114931,1.91324,1200,664.5,81.3479751165,0.0491738741264,53.866743326187134,0.0,-0.00257773417979,22.323123455047607,0.0,1.0249192714691162
0.630302,46.68274450302124,2.32830643654e-10,6.6636,0.13138365745544434,6.64284,2700.0,20.79765748977661,0.988325834274292,2.41666666667,162.4769642353058,0.629317,1200,0.586130167519,0.0,2100.0,0.00266072317027,0.00374598405324,1.89666,7209.054769992828,912.179075986,1.89354,1200,514.0,63.265259468,0.024118900869,67.05648159980774,0.0,-0.00266072293743,21.137025594711304,0.0,0.9822189807891846
0.630225,39.71363592147827,-4.65661287308e-10,6.65668,0.1255042552947998,6.65668,1000.0,21.79668402671814,1.0685746669769287,0.0,139.80597400665283,0.630225,1200,0.0120839214399,0.0,0.0,0.0026573324576,0.0068798167631,1.89562,7351.560893774033,28.855482822,1.89562,1200,0.833333333333,0.0,1,49.56586718559265,0.0,-0.00265733292326,21.71891164779663,0.0,0.9992640018463135
0.632419,47.26188278198242,3.95812094212e-09,6.7006,0.12837624549865723,6.6922,2900.0,20.567033052444458,1.0069448947906494,3.25,161.5357973575592,0.631911,1200,0.604347429215,0.0,1000.0,0.00386624154635,0.00645918352529,1.9022,7515.671197414398,1089.03826073,1.90094,1200,623.0,51.2942898057,0.0409038537141,65.46475982666016,0.0,-0.00386623758823,21.519439220428467,0.0,1.0265028476715088
0.626312,36.89284873008728,-3.25962901115e-09,6.56981,0.1458590030670166,6.56668,2300.0,21.555985689163208,1.0617961883544922,1.66666666667,147.2381751537323,0.626217,1200,0.512057397568,0.0,900.0,0.00447252718732,0.00584374926984,1.88248,7665.577731847763,675.786763706,1.88201,1200,346.5,34.3592135468,0.0340367373373,56.870349168777466,0.0,-0.00447253044695,23.153363943099976,0.0,1.1217830181121826
0.624428,34.703131675720215,2.03726813197e-09,6.5052,0.17820191383361816,6.50907,2800.0,23.73181176185608,1.1864540576934814,1.0,157.3584268093109,0.624585,1200,0.646978824872,0.0,1200.0,0.00565399526386,0.00702558783814,1.8726,7825.671498298645,960.485174708,1.8732,1200,548.75,34.6265793864,0.0215314694037,66.8172459602356,0.0,-0.00565399322659,23.385958194732666,0.0,1.0792622566223145
0.612726,31.59119987487793,0.0,6.28574,0.11566591262817383,6.28574,0.0,22.624961376190186,1.1416542530059814,0.0,145.94224309921265,0.612726,1200,1,0.0,0.0,0.0,0.0,1.83828,7974.138360500336,0.0,1.83828,1200,0.0,0.0,1,60.57233023643494,0.0,0.0,23.332826614379883,0.0,1.0922396183013916
0.612726,27.10391902923584,0.0,6.28574,0.10252761840820312,6.28574,1100.0,21.049910068511963,1.063408613204956,0.0,137.2356152534485,0.612726,1200,0.019591708165,0.0,0.0,0.000406210077927,0.00765909207985,1.83828,8114.555937767029,31.7410311042,1.83828,1200,0.916666666667,0.0,1,56.976218700408936,0.0,-0.000406210077927,23.933851718902588,0.0,1.1352810859680176
0.619966,43.84085702896118,0.0,6.39995,0.23056626319885254,6.39995,0.0,23.347503900527954,1.2289223670959473,0.0,165.12760305404663,0.619966,1200,1,0.0,0.0,0.0,0.0,1.85629,8282.556495428085,0.0,1.85629,1200,0.0,0.0,1,63.485138177871704,0.0,0.0,25.714008569717407,0.0,1.2577142715454102
