1Perplexity,MeanKLBefore,0ExplainedVariance,1StdReturn,0MaxReturn,LossBefore,0NumTrajs,dLoss,Time,0AveragePolicyStd,0AverageReturn,1AverageReturn,1PolicyExecTime,1Entropy,0PolicyExecTime,1ProcessExecTime,1NumTrajs,0StdReturn,1AveragePolicyStd,MeanKL,0EnvExecTime,0Entropy,1ExplainedVariance,1MinReturn,ComputeUpdatedDistTime,0Perplexity,1MaxReturn,ItrTime,0MinReturn,0ProcessExecTime,1EnvExecTime,LossAfter
17.1075,4.36552790445e-12,0.00424825251431,40.7054971718,700.0,5.12227538163e-10,400,2.32831531832e-11,7210.785819768906,1.0,2.75,4.25,54.77114295959473,2.83952,16.69825506210327,1.8141403198242188,400,37.648871165,1.00082,2.45927334053e-10,47.00711226463318,2.83788,0.00484864578159,0.0,0.4052467346191406,17.0795,700.0,186.11863780021667,0.0,1.7775650024414062,47.609660148620605,4.8894438498e-10
17.09,-4.30587371314e-10,0.00866475132648,86.5992927223,1300.0,-3.71946962119e-09,400,-1.16415321827e-10,7404.206729412079,1.0,11.25,13.25,55.32854342460632,2.8385,21.470104455947876,1.7727818489074707,400,90.5452235074,1.00031,-4.64167003444e-11,46.890838384628296,2.83788,0.0113310381743,0.0,0.43530774116516113,17.0795,1100.0,192.29816937446594,0.0,1.6714656352996826,48.1138756275177,-3.60305429936e-09
17.0845,7.45057904261e-10,0.00173808644908,64.6142399166,200.0,-5.23868948221e-10,400,-1.39698391743e-10,7594.840329647064,1.0,0.5,5.0,54.08589744567871,2.83817,20.153942108154297,1.7031276226043701,400,9.98749217772,1.00015,5.35510469302e-10,47.015830516815186,2.83788,0.00975983253771,0.0,0.5841131210327148,17.0795,1000.0,189.5183129310608,0.0,1.6966686248779297,48.63267421722412,-3.84170556478e-10
17.0857,2.44472109223e-10,0.0148322328141,207.170823235,900.0,-6.98491958717e-11,400,6.98491819939e-11,7800.043785572052,1.0,9.25,30.5,60.6353600025177,2.83824,22.16211247444153,1.891402006149292,400,73.7525423291,1.00019,-5.70435254588e-10,49.29725480079651,2.83788,0.0385605616993,0.0,0.4185006618499756,17.0795,3300.0,203.3121440410614,0.0,2.0557024478912354,50.18160152435303,-1.39698377866e-10
17.1145,-4.64925403731e-10,0.00715389379688,62.868414168,700.0,1.9092114556e-09,400,-4.65658622772e-11,8002.3970465660095,1.0,4.0,4.75,62.01807999610901,2.83993,21.427348852157593,1.9654386043548584,400,42.8252262107,1.00103,-1.97542177061e-10,48.52468967437744,2.83788,0.00540986085222,0.0,0.45766520500183105,17.0795,1200.0,201.18168807029724,0.0,1.8950841426849365,50.02435350418091,1.95577731787e-09
17.0859,-6.37257052682e-11,0.0112145911185,4.99374608886,500.0,2.32830643654e-10,400,-4.6566139833e-11,8205.150065660477,1.0,4.0,0.25,62.85888862609863,2.83825,20.98067855834961,1.8287837505340576,400,37.2021504755,1.00019,-2.90735685526e-10,48.96208167076111,2.83788,0.00159621991216,0.0,0.42302608489990234,17.0795,100.0,201.5163323879242,0.0,1.9362883567810059,50.387284994125366,2.79396783487e-10
17.1042,-2.56113685815e-10,0.0146855188455,74.3572457801,700.0,1.43190848068e-09,400,1.51339940579e-10,8405.946036577225,1.0,6.0,11.0,64.24344420433044,2.83933,19.659462928771973,1.8960998058319092,400,53.516352641,1.00073,5.3842086345e-09,48.87533211708069,2.83788,0.0122975693608,0.0,0.42213988304138184,17.0795,900.0,199.63874411582947,0.0,1.7981297969818115,50.01088619232178,1.2805685401e-09
17.0957,-4.30736751822e-10,0.0073322230019,148.573214275,700.0,-6.8685035437e-10,400,6.98492375051e-11,8600.856145620346,1.0,5.5,24.0,60.893221855163574,2.83883,17.76641583442688,1.7908697128295898,400,55.8547222713,1.00048,3.1432120795e-10,48.90250110626221,2.83788,0.0291293414334,0.0,0.43242335319519043,17.0795,1500.0,193.67745995521545,0.0,1.7981140613555908,50.04559254646301,-7.56699591875e-10
17.0953,7.20320691983e-10,0.00673879411249,115.92670098,600.0,-3.84170556478e-10,400,-1.16415294071e-10,8804.947278261185,1.0,8.25,19.0,62.63689422607422,2.8388,23.46091914176941,2.1204428672790527,400,57.9390843904,1.00047,5.1804788237e-10,49.19610667228699,2.83788,0.029185344859,0.0,0.43567323684692383,17.0795,1100.0,202.86240005493164,0.0,1.80080246925354,50.69738578796387,-2.67755262406e-10
17.0718,-8.07631739264e-10,0.0129163483251,87.4056634321,800.0,6.98491930962e-10,400,-1.86264503821e-10,9009.799429416656,1.0,8.0,10.5,60.94792675971985,2.83743,25.157483100891113,1.880143642425537,400,66.6033032214,0.999781,-2.95404145589e-10,48.85291576385498,2.83788,0.0135206177586,0.0,0.3902275562286377,17.0795,1200.0,203.7171666622162,0.0,2.023427724838257,50.4041166305542,8.84756434782e-10
