1AverageReturn,0ProcessExecTime,1AveragePolicyStd,0Entropy,dLoss,1Entropy,Time,LossBefore,1StdReturn,0MaxReturn,ComputeUpdatedDistTime,ItrTime,0StdReturn,MeanKL,1MinReturn,1Perplexity,0AverageReturn,0MinReturn,0NumTrajs,1NumTrajs,1MaxReturn,0ExplainedVariance,0EnvExecTime,0PolicyExecTime,LossAfter,MeanKLBefore,1ProcessExecTime,0Perplexity,1PolicyExecTime,1EnvExecTime,0AveragePolicyStd,1ExplainedVariance
538.875,0.88637375831604,0.768399,2.31276,-2.32830643654e-09,2.30928,2791.6817445755005,-1.16415321827e-09,910.87251269,2500.0,0.10675787925720215,110.71257901191711,635.829302835,7.45057793239e-09,0.0,10.0671,293.6875,0.0,1600,1600,2900.0,0.0713011445378,21.906985998153687,21.284937858581543,1.16415321827e-09,7.45057793239e-09,0.889244556427002,10.1023,36.98026728630066,22.45989727973938,0.769819,0.233748096267
686.625,0.8685548305511475,0.768534,2.31276,0.00427766295616,2.30946,2900.081918478012,1.51339918375e-09,1034.01335068,2900.0,0.09009146690368652,105.45564532279968,657.795750974,0.0078172236681,0.0,10.069,306.5,0.0,1600,1600,2800.0,0.0722404429347,21.88371753692627,20.89399552345276,-0.00427766144276,-7.45057793239e-09,0.8349976539611816,10.1023,35.12742877006531,21.676987409591675,0.769819,0.314198135141
650.5625,0.8686337471008301,0.751426,2.26726,-1.7462298274e-09,2.26536,3010.045984506607,-1.63345248438e-09,1013.61959511,2700.0,0.08644342422485352,107.24719834327698,662.11179369,0.0,0.0,9.63462,298.6875,0.0,1600,1600,2800.0,0.0607172687244,21.885952711105347,21.68008589744568,1.1277734302e-10,0.0,0.8468868732452393,9.65289,35.27865934371948,22.128650188446045,0.75217,0.264532386528
659.5,0.9030871391296387,0.751359,2.26726,0.00433670962229,2.26513,3121.541223049164,-4.65661287308e-10,1016.6598497,2800.0,0.09262323379516602,108.50807738304138,669.668761404,0.00652739219368,0.0,9.63234,317.5,0.0,1600,1600,3000.0,0.0775522731963,22.37025785446167,24.138776302337646,-0.00433671008795,0.0,0.8446879386901855,9.65289,34.35409069061279,21.857919454574585,0.75217,0.277683062353
720.875,0.883549690246582,0.732204,2.21832,0.0018219180638,2.21327,3231.8859899044037,2.44472175837e-09,1071.81585843,2600.0,0.08574676513671875,107.59950494766235,674.8095912,0.00331686064601,0.0,9.14557,332.125,0.0,1600,1600,2900.0,0.059238372429,22.123697519302368,23.52263379096985,-0.00182191561908,3.72528887738e-08,0.8424115180969238,9.19183,34.16592454910278,22.057154178619385,0.734103,0.318068954053
582.5625,0.8845012187957764,0.72997,2.21266,0.00174762285315,2.20719,3342.171808242798,-8.14907252789e-10,1011.31828995,2800.0,0.10337996482849121,107.48515892028809,694.260822634,0.00853709504008,0.0,9.09017,344.8125,0.0,1600,1600,2800.0,0.0591048844673,22.114121437072754,22.97795820236206,-0.00174762366805,7.45057482376e-09,0.8504641056060791,9.13998,34.314359188079834,22.18061351776123,0.73197,0.232942187921
596.0625,0.9006373882293701,0.729948,2.21105,0.00212547788396,2.20696,3451.978174686432,1.16415321827e-09,1040.2599416,2600.0,0.10305070877075195,106.85195660591125,686.545655802,0.00739866402,0.0,9.08808,335.25,0.0,1600,1600,2900.0,0.057842846644,22.208003282546997,23.191042184829712,-0.00212547671981,7.45057526785e-09,0.8394746780395508,9.12527,33.780742168426514,21.81205701828003,0.731386,0.251165652438
639.5625,0.9150846004486084,0.725393,2.19718,5.82076609135e-11,2.19455,3563.1851675510406,-1.7462298274e-10,1053.67977042,2800.0,0.08675527572631836,108.1246190071106,715.338728222,0.0,0.0,8.97592,353.9375,0.0,1600,1600,3000.0,0.0643054235068,22.305288314819336,23.31653594970703,-2.32830643654e-10,0.0,0.8409199714660645,8.99958,34.27050304412842,21.89959716796875,0.726338,0.263383639021
634.3125,0.9032368659973145,0.725025,2.19718,0.00374817126431,2.19363,3674.7269139289856,-1.86264514923e-09,1052.92041596,2700.0,0.09156632423400879,108.86197257041931,718.041074295,0.0082338238135,0.0,8.96772,354.125,0.0,1600,1600,2900.0,0.0698551842414,22.75967764854431,23.295551538467407,-0.00374817312695,-7.45057482376e-09,0.8505175113677979,8.99958,34.824177265167236,22.052359580993652,0.726338,0.281499986178
779.0,0.8851916790008545,0.709688,2.151,0.00143410236342,2.15065,3785.64896941185,1.22236087918e-09,1101.46334483,2600.0,0.10395097732543945,107.89969086647034,716.289023261,0.00859355740249,0.0,8.59042,354.1875,0.0,1600,1600,3000.0,0.0555859316767,22.102307319641113,23.023844242095947,-0.00143410114106,0.0,0.8547101020812988,8.59344,34.483017444610596,22.263665199279785,0.709762,0.31003819232
658.9375,0.904097318649292,0.708118,2.14928,0.0034647223074,2.14627,3894.2272534370422,-4.65661287308e-10,1048.44295081,2600.0,0.10863971710205078,105.87216544151306,709.833783361,0.00695109507069,0.0,8.55292,344.0,0.0,1600,1600,2900.0,0.0544915427276,22.383385181427002,22.04806923866272,-0.00346472277306,7.45057526785e-09,0.8444185256958008,8.57872,33.45385670661926,21.90947961807251,0.709159,0.266317608866
725.125,0.9299001693725586,0.695691,2.11777,0.00322943367064,2.11049,4012.0753042697906,1.62981450558e-09,1113.74648568,2700.0,0.10453939437866211,115.04386138916016,738.740217786,0.00924581941217,0.0,8.25232,379.375,0.0,1600,1600,3000.0,0.0473571195368,23.22275471687317,24.170099020004272,-0.00322943204083,0.0,0.8826601505279541,8.31254,38.20170712471008,23.209226369857788,0.698215,0.318716914521
613.4375,0.9434032440185547,0.684586,2.08557,5.22325281054e-05,2.07875,4133.947512149811,-2.32830643654e-10,1066.48402876,2700.0,0.09902167320251465,118.72780799865723,769.018527796,0.000651950424071,0.0,7.9945,397.9375,0.0,1600,1600,2900.0,0.051741333828,23.208836317062378,28.53924798965454,-5.2232760936e-05,0.0,0.8860816955566406,8.04914,37.65951466560364,23.091180324554443,0.686912,0.223880455363
713.625,0.9337620735168457,0.685563,2.08371,2.32830643654e-10,2.08165,4258.545205116272,-4.65661287308e-10,1128.44555003,2700.0,0.09047698974609375,121.61266708374023,768.64099837,-7.45057526785e-09,0.0,8.01769,398.125,0.0,1600,1600,3000.0,0.0496905410692,23.10101294517517,28.015187978744507,-6.98491930962e-10,0.0,0.9224965572357178,8.03419,39.902284145355225,23.725154399871826,0.686275,0.311822715418
600.875,0.9591531753540039,0.685356,2.08371,3.49245965481e-10,2.08105,4384.662179231644,9.31322574615e-10,1047.81879845,2600.0,0.10388422012329102,123.27180218696594,764.762534631,0.0,0.0,8.0129,400.875,0.0,1600,1600,2800.0,0.0605011641876,23.617339849472046,29.92274785041809,5.82076609135e-10,0.0,0.9183676242828369,8.03419,39.30883455276489,23.62063193321228,0.686275,0.212921919993
607.4375,0.9337515830993652,0.683939,2.08371,-3.49245965481e-10,2.07679,4506.600009918213,6.98491930962e-10,1057.88748626,2700.0,0.08378410339355469,118.6359031200409,753.213075763,0.0,0.0,7.97878,384.75,0.0,1600,1600,2800.0,0.0573700138609,23.125009059906006,27.20790958404541,1.04773789644e-09,0.0,0.8847565650939941,8.03419,38.5555374622345,23.088153839111328,0.686275,0.232569343309
658.3125,0.9333720207214355,0.683025,2.08371,0.00260269513819,2.07413,4630.154977560043,-2.67755240202e-09,1084.82989558,2700.0,0.10175633430480957,120.5482726097107,775.584366381,0.00827376265079,0.0,7.95763,406.625,0.0,1600,1600,3000.0,0.0605373503393,23.103622913360596,27.32516121864319,-0.00260269781575,-7.45057482376e-09,0.9117529392242432,8.03419,40.065224170684814,23.46418070793152,0.686275,0.254812603591
632.9375,0.9402692317962646,0.680268,2.07312,0.00291560753249,2.06631,4749.752769231796,-9.31322574615e-10,1099.80515142,2900.0,0.5065796375274658,116.95313620567322,768.080796124,0.00734228827059,0.0,7.8956,398.625,0.0,1600,1600,2900.0,0.0578334469342,23.00567126274109,26.134275197982788,-0.00291560846381,0.0,0.8901355266571045,7.94956,37.83062696456909,23.24041485786438,0.682613,0.270397127698
827.9375,0.9028763771057129,0.672074,2.04679,-1.39698386192e-09,2.04206,4866.620559215546,-4.65661287308e-10,1184.52025989,2800.0,0.10337448120117188,113.75219750404358,756.898110712,7.45057926466e-09,0.0,7.70649,394.5,0.0,1600,1600,2900.0,0.0533808509792,22.272260904312134,26.38018822669983,9.31322574615e-10,0.0,0.8938679695129395,7.74297,35.41583776473999,23.08825922012329,0.673638,0.355852087288
682.0,0.9205079078674316,0.672298,2.04679,-2.09547579288e-09,2.04283,4990.116584539413,-1.04773789644e-09,1096.23834087,2800.0,0.11142683029174805,120.30956506729126,776.196332183,7.45057926466e-09,0.0,7.71241,407.9375,0.0,1600,1600,3000.0,0.0516919031975,22.94436264038086,26.559118509292603,1.04773789644e-09,-2.22044604925e-16,0.9063971042633057,7.74297,40.82581329345703,23.38125252723694,0.673638,0.27068447272
788.375,0.9254045486450195,0.67196,2.04679,-1.16415321827e-09,2.0417,5108.364182472229,2.32830643654e-10,1156.96363788,2700.0,0.09697413444519043,115.09700798988342,791.123716226,1.49011505357e-08,0.0,7.70371,420.875,0.0,1600,1600,3100.0,0.0544765066482,23.215123176574707,27.56335139274597,1.39698386192e-09,0.0,0.8483469486236572,7.74297,35.634806632995605,22.226001977920532,0.673638,0.336026799522
633.3125,0.9285616874694824,0.671865,2.04679,-1.60071067512e-09,2.04152,5228.959728002548,-5.52972778678e-10,1100.23135174,2800.0,0.08798694610595703,117.52746963500977,777.420373736,0.0,0.0,7.7023,414.75,0.0,1600,1600,2900.0,0.0529968957181,22.90540909767151,25.14783549308777,1.04773789644e-09,2.22044604925e-16,0.9066855907440186,7.74297,39.2701940536499,23.600050687789917,0.673638,0.210261136061
638.875,0.9074070453643799,0.671944,2.04679,0.00467417552136,2.04175,5342.845522642136,-3.0267983675e-09,1108.53562612,2700.0,0.08694958686828613,111.05961203575134,769.568020061,0.00982502289116,0.0,7.70411,405.25,0.0,1600,1600,2900.0,0.0500781157283,22.599572896957397,25.89701008796692,-0.00467417854816,7.45057526785e-09,0.8407289981842041,7.74297,34.38868474960327,22.080400705337524,0.673638,0.273580574077
731.9375,0.8836524486541748,0.66065,2.01083,0.0033893683576,2.00829,5454.538630962372,2.61934474111e-09,1132.72293439,2700.0,0.08588027954101562,109.31248927116394,791.845448837,0.00647789007053,0.0,7.45056,416.1875,0.0,1600,1600,3000.0,0.0542524082305,21.941673755645752,22.43430471420288,-0.00338936573826,0.0,0.8737771511077881,7.46954,36.37180471420288,22.737902641296387,0.661482,0.293861226094
632.125,0.903822660446167,0.643057,1.95886,0.00144283304689,1.95402,5566.942833900452,-1.33877620101e-09,1098.60387965,2700.0,0.6215527057647705,109.90204095840454,799.675715525,0.00593086704612,0.0,7.05697,422.5,0.0,1600,1600,2900.0,0.055147415597,22.24605703353882,22.041192054748535,-0.00144283438567,0.0,0.8717467784881592,7.09127,36.53454899787903,22.549036741256714,0.644614,0.244268794984
718.1875,0.8844070434570312,0.635366,1.93488,9.89530235529e-10,1.93029,5677.13777089119,1.45519152284e-09,1122.03518877,2700.0,0.11156082153320312,107.85723996162415,797.189474713,0.0,0.0,6.89148,419.5625,0.0,1600,1600,2900.0,0.0504485810285,22.03202533721924,20.662677764892578,4.65661287308e-10,0.0,0.8439111709594727,6.92322,36.77624273300171,22.052069425582886,0.636822,0.262176002994
656.25,0.9105849266052246,0.633256,1.93488,1.16415321827e-10,1.92358,5794.489755392075,1.33877620101e-09,1097.85515324,2700.0,0.09106206893920898,114.84422636032104,803.856913574,-7.45057526785e-09,0.0,6.8454,421.25,0.0,1600,1600,2900.0,0.0438460875514,22.2170569896698,21.372810125350952,1.22236087918e-09,-7.45057526785e-09,0.9237964153289795,6.92322,40.989744901657104,23.486433744430542,0.636822,0.232582805625
706.625,0.9428811073303223,0.634846,1.93488,0.00342274503782,1.92857,5919.714656829834,1.86264514923e-09,1114.25136723,2800.0,0.09726452827453613,121.94007158279419,792.750450863,0.0095799183473,0.0,6.87967,420.6875,0.0,1600,1600,2900.0,0.0479456125553,23.127950191497803,24.4068922996521,-0.00342274317518,0.0,0.922827959060669,6.92322,43.491124868392944,23.78184986114502,0.636822,0.261787365631
679.5625,0.9732658863067627,0.632931,1.92543,0.00234977225773,1.92251,6044.990427970886,-6.98491930962e-10,1107.77978795,2700.0,0.0943603515625,122.31009125709534,814.753605392,0.00743813673034,0.0,6.83809,441.25,0.0,1600,1600,2900.0,0.0588227216426,23.895275354385376,26.379128456115723,-0.00234977295622,0.0,0.8983426094055176,6.85813,42.62807273864746,23.29620099067688,0.633872,0.255583446992
781.125,0.9265801906585693,0.631209,1.91709,1.01863406599e-09,1.91693,6169.759991645813,-5.52972778678e-10,1142.48358167,2800.0,0.12518978118896484,121.87897825241089,825.054695157,0.0,0.0,6.80002,441.5,0.0,1600,1600,2900.0,0.0542814565557,23.260698080062866,24.93520426750183,-1.57160684466e-09,0.0,0.9525415897369385,6.80111,42.26035785675049,24.204518795013428,0.63124,0.288322568994
779.3125,0.9278407096862793,0.629323,1.91709,-2.32830643654e-10,1.91094,6291.998308181763,0.0,1150.26769812,2800.0,0.10483241081237793,119.13656377792358,816.101671056,0.0,0.0,6.75943,439.25,0.0,1600,1600,2900.0,0.0473327596938,23.25406765937805,24.960293531417847,2.32830643654e-10,0.0,0.9098598957061768,6.80111,40.64025068283081,23.46736788749695,0.63124,0.308122492853
697.0625,0.9361209869384766,0.628592,1.91709,0.00335739040747,1.90868,6415.268550157547,0.0,1133.74826178,2800.0,0.10763931274414062,120.50917410850525,822.793678573,0.00824457686394,0.0,6.74416,440.75,0.0,1600,1600,3000.0,0.0533977225729,23.28760051727295,27.27059817314148,-0.00335739040747,-2.23517382381e-08,0.895050048828125,6.80111,40.24565267562866,23.436210870742798,0.63124,0.262411672837
676.5625,0.9201433658599854,0.60761,1.84992,0.00155401206575,1.84054,6537.236742258072,9.31322574615e-10,1091.01188518,2800.0,0.10529851913452148,118.79348111152649,827.315347128,0.00790598336607,0.0,6.29994,446.5625,0.0,1600,1600,2900.0,0.0544933094015,22.95479655265808,26.708886861801147,-0.00155401113443,0.0,0.8940353393554688,6.35934,39.746851205825806,23.16166043281555,0.610445,0.225942533022
634.8125,0.9375591278076172,0.608066,1.84708,5.82076609135e-10,1.84204,6658.640192985535,-4.65661287308e-10,1101.89919677,2900.0,0.11435222625732422,118.41259765625,816.713533679,-7.45057926466e-09,0.0,6.30938,434.0625,0.0,1600,1600,3000.0,0.0456526681445,23.16537880897522,27.974421977996826,-1.04773789644e-09,-7.45057926466e-09,0.8812494277954102,6.3413,37.55870699882507,23.06097722053528,0.609587,0.208030045952
