0MaxReturn,1PolicyExecTime,0PolicyExecTime,1MinReturn,1ExplainedVariance,LossBefore,0ExplainedVariance,1Entropy,0StdReturn,1AverageReturn,1NumTrajs,1Perplexity,0AverageReturn,Time,0EnvExecTime,1AveragePolicyStd,0AveragePolicyStd,1EnvExecTime,dLoss,0NumTrajs,0Entropy,LossAfter,0MinReturn,ComputeUpdatedDistTime,1StdReturn,0Perplexity,1MaxReturn,MeanKL,1ProcessExecTime,0ProcessExecTime,MeanKLBefore,ItrTime
2600.0,40.49971556663513,26.755334615707397,0.0,0.205589052244,-2.32830643654e-09,0.0836279187704,2.24466,625.929309108,553.125,1600,9.43722,260.0,4995.9321920871735,25.11480188369751,0.743838,0.747138,25.36710524559021,0.00406132591888,1600,2.2535,-0.00406132824719,0.0,0.09784269332885742,940.187605946,9.521,2800.0,0.00695013394579,0.9133424758911133,0.9603641033172607,1.49011496475e-08,124.0893292427063
2900.0,40.950164556503296,25.598448038101196,0.0,0.181327033802,-4.65661287308e-10,0.0812643442306,2.22619,670.674928244,522.3125,1600,9.26447,291.625,5122.333636045456,24.956472873687744,0.737098,0.739613,25.162370681762695,-4.65661287308e-10,1600,2.23316,0.0,0.0,0.09449982643127441,929.769273715,9.32932,3000.0,0.0,0.9050798416137695,0.9354257583618164,-7.45057526785e-09,123.4347140789032
2700.0,41.23117995262146,26.035479068756104,0.0,0.135859621865,-3.49245965481e-10,0.0860825406607,2.22698,680.902362563,519.625,1600,9.27187,305.3125,5249.966324567795,25.29120707511902,0.737341,0.739613,25.30629825592041,-1.16415321827e-10,1600,2.23316,-2.32830643654e-10,0.0,0.10815763473510742,907.842144525,9.32932,2700.0,0.0,0.9101054668426514,0.9540750980377197,0.0,124.65130829811096
2700.0,37.188396692276,24.848958730697632,0.0,0.17780059022,4.65661287308e-10,0.092349303953,2.22533,675.523824524,527.0625,1600,9.25652,302.25,5370.61305308342,24.86573553085327,0.736701,0.739613,24.577102661132812,0.00250439299271,1600,2.23316,-0.00250439252704,0.0,0.10541939735412598,928.607221108,9.32932,2900.0,0.00999388750643,0.8921642303466797,0.9443132877349854,7.45057970875e-09,117.64190292358398
2700.0,40.73922634124756,24.704561710357666,0.0,0.214977858476,-2.79396772385e-09,0.0760141446545,2.22584,673.567783221,601.875,1600,9.2613,296.4375,5495.359694719315,24.693898916244507,0.736919,0.738633,25.169241189956665,-6.98491930962e-10,1600,2.23053,-2.09547579288e-09,0.0,0.09500956535339355,966.454336415,9.30476,2800.0,-1.49011487593e-08,0.9105703830718994,0.9455513954162598,-7.45057970875e-09,122.24257302284241
2700.0,40.7293016910553,27.07108426094055,0.0,0.172845647326,2.32830643654e-10,0.0909001658247,2.23064,700.364232806,533.375,1600,9.30585,308.4375,5622.8825261592865,25.179361581802368,0.738762,0.738633,25.157758474349976,1.10594555736e-09,1600,2.23053,-8.73114913702e-10,0.0,0.0839090347290039,913.611574672,9.30476,2900.0,1.49011505357e-08,0.9187185764312744,0.9690999984741211,-7.45057526785e-09,124.91093587875366
2800.0,39.500499963760376,22.593167066574097,0.0,0.159798796181,1.62981450558e-09,0.0773042268279,2.23268,684.06391046,498.0625,1600,9.32483,300.5625,5744.117982149124,23.91951608657837,0.739483,0.738633,25.81859278678894,0.00266733532771,1600,2.23053,-0.0026673336979,0.0,0.5339503288269043,912.812957891,9.30476,2900.0,0.00436499901116,0.9364142417907715,0.9139647483825684,0.0,118.53749966621399
2800.0,36.86101937294006,26.19440269470215,0.0,0.142958872711,4.07453626394e-10,0.0873083992597,2.21713,680.185266008,531.25,1600,9.18097,297.9375,5866.227202653885,25.172441482543945,0.73399,0.736568,24.47797679901123,5.82076609135e-11,1600,2.22427,3.49245965481e-10,0.0,0.10034584999084473,920.698613825,9.24673,2700.0,0.0,0.8955764770507812,0.9671857357025146,7.45057526785e-09,119.2959451675415
2800.0,34.68492078781128,23.32031488418579,0.0,0.135151918293,4.07453626394e-09,0.0784413289998,2.21425,704.511133695,499.5625,1600,9.1545,321.25,5982.14630484581,24.12755584716797,0.732886,0.736568,23.77414107322693,1.60071067512e-09,1600,2.22427,2.47382558882e-09,0.0,0.1125328540802002,901.751661265,9.24673,2900.0,-2.98022975187e-08,0.8597657680511475,0.9271409511566162,-2.98023010714e-08,112.55421471595764
2900.0,34.116870403289795,23.778268814086914,0.0,0.188380459206,1.33877620101e-09,0.0806277614663,2.21956,668.539449916,539.5,1600,9.20328,290.0625,6097.204467058182,24.34534454345703,0.734876,0.736568,23.690934896469116,0.00336100853747,1600,2.22427,-0.00336100719869,0.0,0.09923219680786133,934.419472186,9.24673,2900.0,0.00644865538925,0.8639421463012695,0.9278218746185303,0.0,112.04521870613098
