0MinReturn,0PolicyExecTime,1ExplainedVariance,1EnvExecTime,MeanKLBefore,Time,0Perplexity,1ProcessExecTime,1AveragePolicyStd,ComputeUpdatedDistTime,MeanKL,0MaxReturn,0NumTrajs,0EnvExecTime,1AverageReturn,1PolicyExecTime,1StdReturn,1MaxReturn,1NumTrajs,0ExplainedVariance,LossBefore,0StdReturn,1Perplexity,dLoss,1MinReturn,ItrTime,1Entropy,0Entropy,0AveragePolicyStd,0ProcessExecTime,LossAfter,0AverageReturn
0.0,5.891809940338135,0.121125169816,23.246578216552734,-5.49480239087e-09,3287.983875989914,14.6245,0.8268039226531982,0.926018,0.29103875160217285,0.00691047962755,15200.0,400,23.59587025642395,6008.5,24.258500576019287,5309.32460394,19000.0,400,0.0461783302197,-2.32830421609e-11,3455.82507334,14.6288,0.00338953777682,0.0,83.43500113487244,2.68299,2.6827,0.925817,0.8326411247253418,-0.0033895378001,2471.75
0.0,5.971751928329468,0.169286823851,23.068648099899292,1.49011725181e-09,3371.748382329941,14.5423,0.8320419788360596,0.925055,0.39949655532836914,0.00731984851882,18100.0,400,23.431094646453857,4800.75,23.330450773239136,4541.31307416,19100.0,400,0.0338748213483,3.37604472156e-10,3499.00610888,14.5981,0.00432530125836,0.0,82.98269605636597,2.68089,2.67706,0.923334,0.8627221584320068,-0.00432530092075,1957.5
0.0,6.130265951156616,0.192301607058,23.159057140350342,1.86264359492e-09,3456.119062423706,14.7116,0.802556037902832,0.928859,0.37989091873168945,0.00859323702753,17600.0,400,23.86245822906494,8236.75,23.097033262252808,5672.98637734,18800.0,400,0.0784371720196,5.82081605138e-12,3480.83458922,14.727,0.0050323889649,0.0,84.36537075042725,2.68968,2.68864,0.928387,0.8869452476501465,-0.00503238895908,3089.25
0.0,6.383544206619263,0.124271067795,24.625942707061768,5.40167377494e-09,3543.2484703063965,14.5271,0.8914065361022949,0.921895,0.3304779529571533,0.00888180267066,17800.0,400,23.954557418823242,6111.25,24.529906511306763,5972.13516571,19600.0,400,0.05297547498,-8.20728041084e-10,3510.7274086,14.4932,0.00604352366063,0.0,86.43685173988342,2.67368,2.67601,0.922866,0.871589183807373,-0.00604352448136,2491.75
0.0,7.764568090438843,0.156236013293,26.080416917800903,3.44589223822e-09,3636.4270675182343,14.5119,0.9397156238555908,0.921921,0.35057544708251953,0.0070084198378,15900.0,400,24.855279445648193,7297.75,27.06445813179016,5877.21617243,21000.0,400,0.0605465106499,-1.04191721917e-09,3635.86336893,14.4881,0.00465197198209,0.0,93.17383432388306,2.67333,2.67497,0.922659,0.9074487686157227,-0.00465197302401,2732.75
0.0,8.541296243667603,0.124020170762,25.5433292388916,3.35276140184e-09,3731.1503126621246,14.2201,0.8820922374725342,0.914355,0.33205604553222656,0.0086233317852,20600.0,400,25.11643648147583,7307.25,27.69279932975769,7059.78558014,21300.0,400,0.0636002612358,2.73576050702e-10,5933.26849216,14.2454,0.00296436766512,0.0,94.02653050422668,2.65643,2.65466,0.913467,0.930426836013794,-0.00296436739154,4505.0
0.0,8.738141775131226,0.192809025827,25.60411262512207,5.96046900725e-09,3826.278078317642,14.0294,0.9594211578369141,0.908958,0.33329153060913086,0.00965412519872,20800.0,400,25.16207718849182,7466.75,28.316981554031372,6694.15561796,20300.0,400,0.0599451647868,-5.93718074704e-10,4797.98853688,14.0599,0.00406484665582,0.0,95.1230845451355,2.64332,2.64116,0.907934,0.929044246673584,-0.00406484724954,3766.0
0.0,10.53534746170044,0.191668036131,26.02499794960022,2.23517604425e-09,3924.0415534973145,13.7075,0.9218268394470215,0.899203,0.3589663505554199,0.00912792235613,17000.0,400,25.453017473220825,8482.5,27.797333002090454,7253.95710974,20900.0,400,0.0471060124006,-8.6292856194e-10,3489.91510463,13.7636,0.00494674367219,0.0,97.04120826721191,2.62203,2.61794,0.897276,0.9225738048553467,-0.00494674453512,2477.25
0.0,11.091235876083374,0.103489496883,26.185147762298584,-1.11758635679e-09,4023.164756298065,13.5784,0.929443359375,0.895324,0.33644580841064453,0.0068799960427,19800.0,400,25.313544511795044,5220.75,29.1474711894989,6001.46602402,20200.0,400,0.0269180179187,1.32422428578e-09,4430.60943889,13.658,0.00427588068123,0.0,99.1173141002655,2.61432,2.60848,0.892524,0.9034280776977539,-0.00427587935701,2230.0
0.0,8.805638551712036,0.200809829779,26.06928849220276,-2.04890948652e-09,4120.870330095291,13.5934,0.9619238376617432,0.894732,0.3604438304901123,0.00918964575976,19200.0,400,25.31445574760437,9476.75,29.43454360961914,6229.44495421,20700.0,400,0.07468934334,1.69966374308e-09,5010.14704749,13.6433,0.00603099151049,0.0,96.8980040550232,2.61325,2.60958,0.893002,0.9394352436065674,-0.00603098981082,4318.75
