0MaxReturn,MeanKL,Time,LossBefore,1ProcessExecTime,0ProcessExecTime,1Perplexity,0StdReturn,dLoss,LossAfter,1NumTrajs,1MinReturn,1StdReturn,1EnvExecTime,0NumTrajs,1MaxReturn,0Perplexity,1ExplainedVariance,0ExplainedVariance,1PolicyExecTime,MeanKLBefore,ComputeUpdatedDistTime,1AveragePolicyStd,1Entropy,0PolicyExecTime,0Entropy,1AverageReturn,0MinReturn,0AverageReturn,0AveragePolicyStd,0EnvExecTime,ItrTime
1800.0,0.00613685604185,301.8830382823944,-2.79396772385e-09,0.07296109199523926,0.05974173545837402,12.3665,467.914254966,0.00372323486954,-0.00372323766351,80,0.0,1174.3056459,1.6921632289886475,80,2900.0,12.5324,0.521056257322,0.124087786441,2.715282440185547,0.0,0.09687447547912598,0.851406,2.51499,1.2246043682098389,2.52831,677.5,0.0,207.5,0.857041,1.2736568450927734,7.730742692947388
1800.0,0.00641667610034,308.99732851982117,-4.65661287308e-10,0.05858182907104492,0.050649166107177734,11.6999,532.022967079,0.00547184888273,-0.0054718493484,80,0.0,1150.67846834,1.3966267108917236,80,2800.0,11.6444,0.46634832966,0.0734176482173,2.3043293952941895,0.0,0.08173847198486328,0.828111,2.45958,1.0913240909576416,2.45483,663.75,0.0,271.25,0.826124,1.0848133563995361,6.604303598403931
1800.0,0.00809369795024,316.0738408565521,-1.39698386192e-09,0.06822872161865234,0.04897570610046387,11.1151,394.554733212,0.0026010517031,-0.00260105310008,80,0.0,1144.83623283,1.5836842060089111,80,2900.0,11.2126,0.503493825653,0.0562362061002,2.6031088829040527,7.4505814851e-09,0.08597683906555176,0.80701,2.40831,1.1137700080871582,2.41704,660.0,0.0,158.75,0.810606,1.0447862148284912,7.071774959564209
1800.0,0.0079044084996,323.62518787384033,0.0,0.06751251220703125,0.053418874740600586,10.4136,511.967711384,0.0045508723706,-0.0045508723706,80,0.0,1166.61636796,1.5268809795379639,80,2900.0,10.6009,0.494293377828,0.0735799452971,2.5034050941467285,-7.4505814851e-09,0.09901118278503418,0.781356,2.34311,1.1359879970550537,2.36094,672.5,0.0,216.25,0.788282,1.1076745986938477,7.022532224655151
2100.0,0.000448530947324,330.7675383090973,-9.31322574615e-10,0.06779146194458008,0.053835391998291016,10.9245,372.818655649,0.000794212333858,-0.000794213265181,80,0.0,1167.04487917,1.5683231353759766,80,2900.0,11.0266,0.485208767938,0.115644132625,2.5724642276763916,0.0,0.08377456665039062,0.801486,2.39101,1.1338903903961182,2.40031,672.5,0.0,127.5,0.805411,1.132422685623169,7.136345386505127
1700.0,0.00830960460007,338.6467568874359,9.31322574615e-10,0.06734037399291992,0.05888223648071289,11.0226,455.615997853,0.00519625563174,-0.00519625470042,80,0.0,1159.80534466,1.5382654666900635,80,2900.0,11.0861,0.486537326365,0.102295395281,2.531928062438965,-1.86264532687e-08,0.08919572830200195,0.805162,2.39995,1.2437093257904053,2.4057,668.75,0.0,193.75,0.807667,1.274461269378662,7.365812540054321
1600.0,0.00776813318953,345.89810609817505,7.10133463144e-09,0.06731224060058594,0.05568671226501465,11.5431,329.535658162,0.00527414272074,-0.0052741356194,80,0.0,1027.1007436,1.5556395053863525,80,2700.0,11.6299,0.384923741001,0.0472653006484,2.6148083209991455,0.0,0.09257149696350098,0.824457,2.44609,1.1801934242248535,2.45358,586.25,0.0,112.5,0.827784,1.169872522354126,7.246635437011719
1900.0,0.00998640712351,353.265953540802,9.31322574615e-10,0.06107592582702637,0.04726576805114746,11.4018,434.236038924,0.00400220137089,-0.00400220043957,80,0.0,1173.69541939,1.4045734405517578,80,2900.0,11.4116,0.48907837156,0.11683427204,2.3265044689178467,0.0,0.08178901672363281,0.81942,2.43377,1.057258129119873,2.43463,676.25,0.0,163.75,0.820012,1.0120315551757812,6.54306960105896
1800.0,0.00921696797013,359.84707903862,4.19095158577e-09,0.06092953681945801,0.044419050216674805,11.3829,486.657926577,0.00802550977096,-0.00802550558001,80,0.0,1148.09556985,1.4265456199645996,80,2900.0,11.2457,0.468460011564,0.073659393649,2.44631028175354,-1.30385169328e-08,0.12281274795532227,0.818222,2.43211,1.0101399421691895,2.41998,661.25,0.0,193.75,0.813246,0.9436848163604736,6.575888156890869
1900.0,0.00930982455611,367.2712457180023,6.98491930962e-10,0.06213188171386719,0.05207705497741699,10.6812,479.190397963,0.00307560362853,-0.00307560293004,80,0.0,1159.80534466,1.4247229099273682,80,2900.0,10.9103,0.476432250955,0.0755687237303,2.434656858444214,-7.4505814851e-09,0.08663320541381836,0.792721,2.36848,1.1466822624206543,2.38971,668.75,0.0,201.25,0.80114,1.1029362678527832,6.914405584335327
