0AveragePolicyStd,dLoss,1MaxReturn,0ExplainedVariance,1StdReturn,1ExplainedVariance,0Entropy,LossAfter,0NumTrajs,1PolicyExecTime,1AverageReturn,0EnvExecTime,1Entropy,0ProcessExecTime,0Perplexity,Time,LossBefore,1AveragePolicyStd,0AverageReturn,0MaxReturn,1ProcessExecTime,MeanKL,1EnvExecTime,0PolicyExecTime,0MinReturn,1MinReturn,ComputeUpdatedDistTime,0StdReturn,1Perplexity,MeanKLBefore,1NumTrajs,ItrTime
0.802744,0.00890339794569,2200.0,0.0181403697517,627.66921136,0.634661119252,2.39777,-0.00890340004116,1200,25.368643283843994,328.833333333,12.975457906723022,2.39612,0.6380913257598877,10.9986,1589.1360092163086,-2.09547579288e-09,0.80206,0.166666666667,200.0,0.6175048351287842,0.00806235801429,13.152021169662476,14.919431686401367,0.0,0.0,0.07811665534973145,5.77109656439,10.9805,0.0,1200,70.67452073097229
0.798188,0.0,0.0,1,0.0,1,2.38592,0.0,1200,25.371229887008667,0.0,13.3410165309906,2.38592,0.6485161781311035,10.8691,1662.5595118999481,0.0,0.798188,0.0,0.0,0.611229658126831,0.0,13.122634172439575,15.399349451065063,0.0,0.0,0.08493447303771973,0.0,10.8691,0.0,1200,71.85698437690735
0.798188,0.0,0.0,1,0.0,1,2.38592,0.0,1200,23.304932832717896,0.0,13.880642175674438,2.38592,0.6742091178894043,10.8691,1735.022183418274,0.0,0.798188,0.0,0.0,0.6065678596496582,0.0,12.876664400100708,15.322582483291626,0.0,0.0,0.09440422058105469,0.0,10.8691,0.0,1200,70.31184387207031
0.798188,0.00201751338318,2700.0,0.0247316286345,854.037404853,0.65206328744,2.38592,-0.0020175119862,1200,21.747030019760132,486.333333333,13.928028583526611,2.38629,0.6662547588348389,10.8691,1806.9960601329803,1.39698386192e-09,0.798369,0.166666666667,200.0,0.6030993461608887,0.0037190457806,12.945753335952759,17.266403913497925,0.0,0.0,0.07872796058654785,5.77109656439,10.8731,-3.72528896619e-09,1200,70.36200523376465
0.78135,0.0,0.0,1,0.0,1,2.34362,0.0,1200,22.175827264785767,0.0,13.620476245880127,2.34362,0.6625220775604248,10.4188,1882.2409403324127,0.0,0.78135,0.0,0.0,0.6098601818084717,0.0,13.170753002166748,19.217796802520752,0.0,0.0,0.10900259017944336,0.0,10.4188,0.0,1200,73.10728168487549
0.78135,0.0,0.0,1,0.0,1,2.34362,0.0,1200,23.83911967277527,0.0,13.160697221755981,2.34362,0.6473567485809326,10.4188,1956.2519035339355,0.0,0.78135,0.0,0.0,0.6223633289337158,0.0,13.326971292495728,17.243958711624146,0.0,0.0,0.08403754234313965,0.0,10.4188,0.0,1200,72.32687997817993
0.78135,0.0,0.0,1,0.0,1,2.34362,0.0,1200,25.87603783607483,0.0,13.01714539527893,2.34362,0.6491959095001221,10.4188,2030.0970809459686,0.0,0.78135,0.0,0.0,0.6184895038604736,0.0,13.352010488510132,14.370028972625732,0.0,0.0,0.11231327056884766,0.0,10.4188,0.0,1200,71.51998138427734
0.78135,0.0,0.0,1,0.0,1,2.34362,0.0,1200,25.788141012191772,0.0,13.239202976226807,2.34362,0.6425802707672119,10.4188,2102.9349994659424,0.0,0.78135,0.0,0.0,0.6173529624938965,0.0,13.08088731765747,14.021657705307007,0.0,0.0,0.10003161430358887,0.0,10.4188,0.0,1200,71.04671382904053
0.78135,0.0,0.0,1,0.0,1,2.34362,0.0,1200,24.544404983520508,0.0,13.589423418045044,2.34362,0.6501502990722656,10.4188,2175.170862674713,0.0,0.78135,0.0,0.0,0.601726770401001,0.0,13.030477046966553,14.20163869857788,0.0,0.0,0.07976651191711426,0.0,10.4188,0.0,1200,70.15087676048279
0.78135,0.0,0.0,1,0.0,1,2.34362,0.0,1200,33.16174912452698,0.0,15.428744792938232,2.34362,0.7312014102935791,10.4188,2269.6861612796783,0.0,0.78135,0.0,0.0,0.9238901138305664,0.0,20.42532992362976,18.168811798095703,0.0,0.0,0.0702064037322998,0.0,10.4188,0.0,1200,92.50991797447205
