1MaxReturn,Time,1ExplainedVariance,0NumTrajs,1EnvExecTime,1NumTrajs,0MaxReturn,1AverageReturn,ItrTime,LossAfter,0AverageReturn,0AveragePolicyStd,0PolicyExecTime,1Perplexity,1Entropy,MeanKLBefore,1ProcessExecTime,0MinReturn,1StdReturn,0StdReturn,LossBefore,1MinReturn,MeanKL,1PolicyExecTime,0ExplainedVariance,0Entropy,0EnvExecTime,0ProcessExecTime,0Perplexity,1AveragePolicyStd,dLoss,ComputeUpdatedDistTime
4800.0,3054.4294884204865,0.018600855369,400,30.697024822235107,400,3200.0,25.0,130.95993995666504,-1.39698386192e-09,22.5,0.983591,16.65933656692505,16.5223,2.80471,-4.7439241424e-10,1.1633405685424805,0.0,276.088753846,219.758390056,-1.30385158226e-09,0.0,-1.48429546432e-10,43.27992510795593,0.0195297812703,2.80455,29.634695768356323,1.2422311305999756,16.5196,0.983688,9.3132279666e-11,0.47676849365234375
3300.0,3187.403576374054,0.0253726806479,400,30.092939853668213,400,2000.0,22.0,131.83838486671448,-1.56811495344e-07,19.75,0.983591,12.744173765182495,16.5604,2.80702,-3.42261063935e-09,1.2169711589813232,0.0,215.211523855,161.663036901,-3.02679853403e-10,0.0,0.000433576846262,47.434978008270264,0.0417835289914,2.80455,28.766268968582153,1.187265396118164,16.5196,0.984825,1.56508815491e-07,0.4226241111755371
6700.0,3314.379565000534,0.044920894213,400,30.717004537582397,400,5300.0,51.5,125.8614912033081,-6.92671142666e-10,39.0,0.983587,12.136332035064697,16.4995,2.80333,-4.4237816188e-10,1.1523292064666748,0.0,388.198080881,342.679150227,-1.04773821563e-10,0.0,1.90921234378e-09,43.58190894126892,0.0249741399994,2.80454,29.678603649139404,1.1864662170410156,16.5195,0.982983,5.87897321103e-10,0.4188878536224365
1400.0,3445.6097660064697,0.0231425799321,400,30.520622968673706,400,1400.0,8.25,130.0763123035431,-1.6298146166e-10,9.0,0.983587,12.735905408859253,16.5058,2.80371,1.39698558277e-10,1.1769325733184814,0.0,84.3026541694,101.828286836,-2.79396783487e-10,0.0,-7.1013334102e-10,48.26421070098877,0.0185837890527,2.80454,29.09375262260437,1.1802070140838623,16.5195,0.983187,-1.16415321827e-10,0.40323781967163086
4500.0,3573.597305059433,0.0297869835183,400,30.84106135368347,400,1200.0,30.0,126.91311573982239,-1.16415349583e-10,11.25,0.983587,12.072407484054565,16.5362,2.80555,-5.00585295438e-10,1.130798101425171,0.0,277.398630134,89.4339840329,3.02679853403e-10,0.0,8.73114705535e-11,44.27153420448303,0.0225032901205,2.80454,29.86462092399597,1.2022044658660889,16.5195,0.984106,4.19095202986e-10,0.4563617706298828
2200.0,3712.476330280304,0.052381574758,400,31.10406994819641,400,3100.0,18.5,137.8646388053894,-4.01632865854e-10,15.5,0.983587,17.984113216400146,16.5156,2.80431,-5.00585961571e-10,1.1999194622039795,0.0,149.525081508,175.669433881,-4.22005541623e-10,0.0,-6.53090070912e-09,47.63024139404297,0.0165770016117,2.80454,30.55455446243286,1.2783923149108887,16.5195,0.983483,-2.03726757686e-11,0.4065380096435547
4800.0,3843.620992422104,0.0142786829468,400,30.170971393585205,400,3700.0,21.0,130.05863404273987,1.32713473544e-09,13.5,0.983587,11.623783349990845,16.5433,2.80598,1.5133974629e-10,1.2584595680236816,0.0,247.909257592,190.440935725,9.08039476943e-10,0.0,1.62981531049e-10,42.22981309890747,0.0137111173414,2.80454,28.59236192703247,1.109327793121338,16.5195,0.984338,-4.19095258497e-10,0.4118685722351074
2300.0,3967.467790365219,0.0166717381272,400,29.320436000823975,400,800.0,21.25,122.836101770401,-6.5192584664e-10,5.0,0.983587,11.893503427505493,16.5349,2.80547,1.10594630676e-10,1.1674063205718994,0.0,157.71314942,47.6969600708,-1.57160728875e-10,0.0,-1.74622746818e-10,43.59929871559143,0.0259588766666,2.80454,28.356350898742676,1.158055067062378,16.5195,0.984044,4.94765117764e-10,0.46648383140563965
5100.0,4088.9425616264343,0.0287718753761,400,29.29414200782776,400,3200.0,24.5,120.39158415794373,8.149073083e-11,20.0,0.983587,10.964754343032837,16.5619,2.8071,-7.45057904261e-10,1.1227843761444092,0.0,273.495429578,202.113829314,-1.22236096245e-10,0.0,1.96741911651e-09,42.189658880233765,0.0310075384981,2.80454,28.231999397277832,1.1011528968811035,16.5195,0.984858,-2.03726827075e-10,0.3596980571746826
2000.0,4212.928907155991,0.0458552668954,400,29.176470041275024,400,1700.0,17.5,122.90806865692139,-2.38397637986e-06,21.0,0.983587,10.578357458114624,16.4639,2.80117,6.98492597095e-10,1.0902047157287598,0.0,150.810311319,144.944817086,-5.12227427141e-10,0.0,0.00899759214371,40.02458167076111,0.0495108827808,2.80454,28.28978681564331,1.118680715560913,16.5195,0.981947,2.38346415243e-06,0.4584360122680664
900.0,4332.884991407394,0.0278663636638,400,29.143664121627808,400,1200.0,5.5,118.90998935699463,-3.95812105314e-10,5.25,0.983554,13.258483648300171,16.5158,2.80432,-1.97905913879e-10,1.1055326461791992,0.0,52.151222421,63.2252916166,-1.16415314888e-10,0.0,6.22822016183e-10,38.537264585494995,0.010549623657,2.80447,28.162548780441284,1.1302454471588135,16.5183,0.983481,2.79396790426e-10,0.43480968475341797
500.0,4454.161414861679,0.027360878531,400,29.16127848625183,400,2200.0,4.75,119.3870952129364,-5.79114785069e-05,8.75,0.983554,11.88178277015686,16.5098,2.80395,-3.25962834502e-09,1.106687307357788,0.0,38.7612886783,119.576074112,-1.74623010496e-10,0.0,0.00679258722812,41.10556411743164,0.0252624175786,2.80447,28.315340995788574,1.152780532836914,16.5183,0.983298,5.79113038839e-05,0.3924241065979004
1300.0,4581.3130123615265,0.0156444703795,400,29.900171756744385,400,1400.0,10.0,125.68733811378479,5.09317588104e-12,8.5,0.983592,18.183898210525513,16.5146,2.80425,1.11176501338e-09,1.1781542301177979,0.0,92.4662100445,85.6022780071,3.13593762069e-10,0.0,5.12227538163e-10,39.6099157333374,0.0223965648364,2.80452,28.29432463645935,1.1474096775054932,16.5191,0.983448,3.08500586188e-10,0.4259679317474365
3900.0,4704.934572935104,0.0379415506296,400,29.518758296966553,400,2200.0,27.0,122.57380390167236,8.527423212e-10,11.25,0.983592,12.21038031578064,16.5624,2.80714,2.29338148472e-09,1.1195855140686035,0.0,233.390231158,123.281943122,5.83531833964e-10,0.0,1.28056731885e-10,43.492337226867676,0.0235063709891,2.80452,28.011257648468018,1.1222162246704102,16.5191,0.984891,-2.69210487236e-10,0.3815019130706787
1000.0,4828.423673152924,0.0298441661529,400,29.367952585220337,400,3900.0,8.5,122.41293692588806,-4.04543260002e-10,27.5,0.983592,15.210700988769531,16.5261,2.80494,-4.87197926446e-09,1.1214630603790283,0.0,77.6385857676,243.194880703,-2.03726813197e-10,0.0,6.75208666756e-10,39.206523180007935,0.0338766505366,2.80452,29.22525644302368,1.1758475303649902,16.5191,0.983797,2.00816446805e-10,0.4041900634765625
4200.0,4951.9159054756165,0.0135441293746,400,29.24520468711853,400,1000.0,26.75,122.51346492767334,7.85803422332e-10,7.25,0.983592,14.689300060272217,16.5076,2.80382,4.94765228787e-10,1.0249722003936768,0.0,242.918582039,70.5155124778,3.66708302613e-10,0.0,3.08500586188e-10,40.89296913146973,0.0276341680214,2.80452,27.990079879760742,1.0692369937896729,16.5191,0.983253,-4.19095119719e-10,0.40070605278015137
