LossBefore,0Entropy,0EnvExecTime,1StdReturn,0Perplexity,0StdReturn,1AveragePolicyStd,1MinReturn,0NumTrajs,0AveragePolicyStd,0MinReturn,LossAfter,1PolicyExecTime,1Entropy,0MaxReturn,0AverageReturn,1ProcessExecTime,MeanKLBefore,0ExplainedVariance,1Perplexity,Time,1ExplainedVariance,MeanKL,1EnvExecTime,1MaxReturn,1NumTrajs,0PolicyExecTime,1AverageReturn,ItrTime,ComputeUpdatedDistTime,0ProcessExecTime,dLoss
-3.49246020992e-10,2.83788,30.207880973815918,392.665251837,17.0795,255.103410404,1.00082,0.0,400,1.0,0.0,-9.08039532455e-10,39.69165921211243,2.83948,2700.0,33.5,1.1145837306976318,-4.01632560543e-10,0.0266973417494,17.1068,4532.963845252991,0.0257145125881,-2.29920388284e-10,30.332683086395264,5400.0,400,11.735021114349365,58.0,128.28985834121704,0.4666328430175781,1.189612865447998,5.58793511463e-10
-2.21189122573e-10,2.83788,29.80080556869507,380.844374384,17.0795,115.950150927,1.00009,0.0,400,1.0,0.0,3.49246187525e-11,38.73127722740173,2.83804,1300.0,16.75,1.1115248203277588,-1.70257266618e-10,0.0161732589619,17.0822,4657.468919992447,0.0410375707088,9.02218716403e-11,30.826085805892944,5800.0,400,14.546845197677612,47.25,123.57997441291809,0.44451355934143066,1.1329319477081299,-2.56113741326e-10
2.32830615898e-10,2.83788,29.778624057769775,703.086765627,17.0795,956.143784951,0.999477,0.0,400,1.0,0.0,6.51925791129e-10,41.03790259361267,2.8368,12100.0,96.25,1.1005618572235107,-2.31374835957e-10,0.0167649371679,17.061,4787.102189064026,0.0118417337764,-5.32600019643e-10,30.632266759872437,11900.0,400,10.968437910079956,63.0,128.49185967445374,0.42143750190734863,1.1526894569396973,-4.1909517523e-10
-1.2449163922e-09,2.83788,29.552030563354492,191.023395164,17.0795,134.070643692,1.0007,0.0,400,1.0,0.0,-1.00044417195e-09,39.68832087516785,2.83924,2500.0,12.25,1.1119649410247803,8.0326584273e-10,0.0449476497622,17.1028,4909.958178758621,0.0437481002606,2.44471970445e-10,31.21309494972229,1900.0,400,11.496649742126465,29.75,121.90639996528625,0.3894369602203369,1.0690486431121826,-2.44472220245e-10
8.32369562165e-10,2.83788,29.456509590148926,233.430798097,17.0795,52.4499761678,1.00009,0.0,400,1.0,0.0,9.37143362911e-10,43.61067485809326,2.83803,600.0,7.0,1.1104745864868164,5.95173244022e-10,0.0126233132848,17.0821,5039.055632829666,0.0188979833651,-5.51190026954e-09,31.312998056411743,3000.0,400,11.23129415512085,29.75,128.02828359603882,0.4159505367279053,1.0978813171386719,-1.04773800746e-10
-6.54836185277e-10,2.83788,30.384276866912842,196.568054373,17.0795,261.512905991,1.00172,0.0,400,1.0,0.0,-3.89991344774e-10,40.17437958717346,2.84127,3800.0,31.0,1.105419635772705,-1.20489895838e-09,0.0410033219146,17.1376,5163.2276220321655,0.0395133027179,3.43425177185e-10,31.125348567962646,2100.0,400,11.638575553894043,31.0,123.21359372138977,0.41809988021850586,1.143186330795288,-2.64844840503e-10
1.40862543851e-09,2.83788,30.276647567749023,306.491333483,17.0795,230.539448902,1.00113,0.0,400,1.0,0.0,1.24564403237e-09,39.874430656433105,2.84009,3100.0,28.75,1.0623950958251953,-7.9598910796e-10,0.019428073649,17.1173,5293.194944858551,0.00892484695275,-5.52972279078e-10,30.34982180595398,5900.0,400,15.928191184997559,24.25,128.9134271144867,0.4195082187652588,1.2160964012145996,1.62981406149e-10
1.86555548787e-09,2.83788,29.79228687286377,182.504109543,17.0795,309.935073846,0.999254,0.0,400,1.0,0.0,1.79570625036e-09,40.922919273376465,2.83634,3500.0,40.5,1.179358959197998,2.98023294931e-09,0.0267404108786,17.0533,5418.56063747406,0.0764088105919,2.91620438908e-09,31.110864877700806,1800.0,400,10.983083724975586,31.5,124.40972113609314,0.4119143486022949,1.113210916519165,6.98492375051e-11
8.38190294949e-10,2.83788,29.463088512420654,295.032201632,17.0795,209.6133345,1.00237,0.0,400,1.0,0.0,1.00117181212e-09,39.25437068939209,2.84255,3700.0,21.5,1.0657260417938232,1.35332522966e-09,0.0180362704529,17.1595,5541.449719429016,0.0238795049688,1.17943199651e-09,30.405688285827637,4800.0,400,13.171581506729126,34.0,121.86312365531921,0.414844274520874,1.1021544933319092,-1.62981517171e-10
-1.51339918375e-09,2.83788,29.64828610420227,172.97326383,17.0795,129.765172523,1.00108,0.0,400,1.0,0.0,-1.9092114556e-09,40.947776556015015,2.84,2000.0,19.0,1.0655467510223389,7.62520768749e-10,0.0218768217011,17.1157,5667.232544183731,0.0263493816659,1.66182945183e-09,30.587208032608032,2300.0,400,13.91559386253357,30.5,124.84684538841248,0.38799023628234863,1.1027212142944336,3.95812271847e-10
2.33994801313e-09,2.83788,29.58818817138672,184.124787848,17.0795,164.795137974,0.99871,0.0,400,1.0,0.0,2.56113708019e-09,41.849411487579346,2.83527,2300.0,22.75,1.1070311069488525,-5.68979807714e-10,0.0239428949308,17.0349,5797.879002571106,0.0205282110463,-1.09212106025e-09,30.37558126449585,3100.0,400,13.943215608596802,21.75,129.5515718460083,0.4187281131744385,1.1135759353637695,-2.21189067062e-10
