1MinReturn,0ProcessExecTime,ItrTime,1Perplexity,1StdReturn,0Perplexity,1ExplainedVariance,1PolicyExecTime,ComputeUpdatedDistTime,0AverageReturn,0NumTrajs,0MinReturn,0Entropy,dLoss,1AverageReturn,1ProcessExecTime,0EnvExecTime,1EnvExecTime,0ExplainedVariance,1Entropy,1AveragePolicyStd,0StdReturn,0MaxReturn,MeanKLBefore,0PolicyExecTime,Time,0AveragePolicyStd,1MaxReturn,LossAfter,MeanKL,LossBefore,1NumTrajs
0.0,1.2647998332977295,179.37242317199707,8.31916,983.328112839,8.34388,0.178027500178,62.219374656677246,0.11792421340942383,361.0,2000,0.0,2.12153,0.00314415197499,571.35,1.251448154449463,34.226309299468994,35.14283871650696,0.0630381862574,2.11856,0.697927,744.465580131,2800.0,0.0,39.39888596534729,8635.539360046387,0.698957,2900.0,-0.00314415199682,0.00692109251395,-2.18278728426e-11,2000
0.0,1.2843093872070312,179.6670560836792,8.17456,994.737371119,8.20196,0.179786649482,62.4029655456543,0.09678530693054199,363.4,2000,0.0,2.10437,0.00269323005341,592.75,1.2396001815795898,34.79800534248352,34.768771171569824,0.0734810182638,2.10103,0.691937,746.652824276,2800.0,-7.45058059692e-09,39.3747341632843,8819.274276971817,0.693084,2900.0,-0.00269323051907,0.00991898775101,-4.65661287308e-10,2000
0.0,1.2879042625427246,178.5632131099701,8.12712,954.863172135,8.19895,0.14826108545,58.62356495857239,0.11632895469665527,366.8,2000,0.0,2.10401,0.0,563.65,1.248295783996582,34.812368631362915,35.160078287124634,0.0817462981438,2.09521,0.68994,758.675002883,2800.0,7.45057970875e-09,40.505067586898804,9002.046447515488,0.692955,2900.0,9.31322574615e-10,2.23517417908e-08,9.31322574615e-10,2000
0.0,1.2868056297302246,177.5502381324768,8.14207,980.074486965,8.19895,0.186065324036,58.19060206413269,0.11992430686950684,357.75,2000,0.0,2.10401,0.00298034131993,568.0,1.2436637878417969,34.803630352020264,34.764259815216064,0.0715510602023,2.09704,0.690551,746.351081931,2700.0,7.45058015283e-09,41.30540323257446,9183.904582738876,0.692955,2900.0,-0.00298034120351,0.00815441831946,1.16415321827e-10,2000
0.0,1.2671685218811035,180.90533089637756,8.00502,967.406967103,8.07436,0.166046318273,58.07195830345154,0.12249255180358887,339.0,2000,0.0,2.08869,0.00236848957138,562.4,1.2516446113586426,34.48345708847046,35.017603158950806,0.059157330007,2.08007,0.684732,730.245849013,2900.0,0.0,43.592710971832275,9369.146727323532,0.687672,3000.0,-0.0023684904445,0.00611061044037,-8.73114913702e-10,2000
0.0,1.2736139297485352,180.45470237731934,7.85708,987.620674905,7.88482,0.16819758555,59.778446197509766,0.10933423042297363,382.1,2000,0.0,2.06494,0.00318926281761,581.55,1.2610394954681396,34.374860763549805,35.43112850189209,0.0728741023146,2.06141,0.678362,769.720462246,2700.0,0.0,42.38535261154175,9553.921853542328,0.679558,2900.0,-0.00318926130421,0.00781460758299,1.51339918375e-09,2000
0.0,1.2985169887542725,181.54274368286133,7.77299,971.042263498,7.81581,0.15955996024,63.205371141433716,0.11880946159362793,345.25,2000,0.0,2.05615,-3.49245965481e-10,556.85,1.2562003135681152,34.80403542518616,34.98442077636719,0.0598267751219,2.05065,0.674778,727.521434392,2600.0,7.45058059692e-09,39.446674823760986,9740.247788906097,0.676637,2900.0,-1.16415321827e-10,0.0,-4.65661287308e-10,2000
0.0,1.2788317203521729,179.21025443077087,7.80494,991.297633156,7.81581,0.182008707948,63.091612577438354,0.10564184188842773,366.45,2000,0.0,2.05615,0.00320372194983,577.55,1.2420029640197754,34.83536672592163,35.06490707397461,0.0741443114699,2.05476,0.676159,759.716656063,2900.0,-7.45058015283e-09,38.08813405036926,9923.611607074738,0.676637,2900.0,-0.00320371985435,0.00977409537882,2.09547579288e-09,2000
0.0,1.276278018951416,180.46215510368347,7.49913,932.645865267,7.53074,0.138626518332,64.17045092582703,0.11318135261535645,353.6,2000,0.0,2.01899,0.00341409939574,526.3,1.2574114799499512,34.555930376052856,35.50135397911072,0.0578705169934,2.01479,0.662912,734.674785194,2700.0,0.0,37.93133306503296,10108.380200147629,0.664302,2900.0,-0.00341409770772,0.00634272629395,1.68802216649e-09,2000
0.0,1.277597427368164,179.72045826911926,7.22831,985.177669256,7.2494,0.170249093535,64.09602880477905,0.11135268211364746,359.75,2000,0.0,1.98092,0.00186100561405,613.6,1.2375259399414062,34.676957845687866,34.9107985496521,0.064587456327,1.97801,0.650952,746.635746198,2800.0,0.0,37.669336795806885,10292.362321853638,0.651901,2900.0,-0.00186100346036,0.00635093078017,2.1536834538e-09,2000
