0AverageReturn,1AverageReturn,MeanKL,0AveragePolicyStd,0ExplainedVariance,1MaxReturn,0Entropy,1AveragePolicyStd,0MaxReturn,Time,1Entropy,ItrTime,0ProcessExecTime,0NumTrajs,LossAfter,0EnvExecTime,1NumTrajs,1Perplexity,0MinReturn,0PolicyExecTime,0StdReturn,0Perplexity,1EnvExecTime,MeanKLBefore,dLoss,1PolicyExecTime,LossBefore,ComputeUpdatedDistTime,1ProcessExecTime,1MinReturn,1ExplainedVariance,1StdReturn
790.75,1606.0,0.00682378280908,0.916287,0.1742986526,8000.0,2.66083,0.915468,3400.0,1586.9564578533173,2.65876,74.5046329498291,0.38518834114074707,400,-0.00945687666535,24.99381995201111,400,14.2785,0.0,3.7876415252685547,647.487017244,14.3081,26.481484413146973,-1.11758620136e-08,0.00945687594358,14.03115725517273,-7.21775084145e-10,0.4885871410369873,0.36904191970825195,0.0,0.245525077186,1520.7116755
807.75,1720.75,0.00763829471543,0.906535,0.17389762631,6900.0,2.63974,0.902695,3200.0,1667.3939170837402,2.63119,79.5684654712677,0.3853569030761719,400,-0.00526211969554,25.507017612457275,400,13.8902,0.0,3.8344027996063232,633.099468883,14.0095,28.893832206726074,5.68106717225e-09,0.00526212175027,15.972070455551147,2.05473060788e-09,0.41662025451660156,0.3803572654724121,0.0,0.270134725573,1354.26896793
939.5,1837.75,0.00928162969649,0.897549,0.150007495376,6600.0,2.61807,0.892786,5300.0,1747.3251819610596,2.60661,79.9250693321228,0.4058527946472168,400,-0.0113978423178,26.402803897857666,400,13.553,0.0,4.337754964828491,870.10904489,13.7093,28.499112844467163,6.33299368502e-09,0.011397841695,15.439510822296143,-6.22821683116e-10,0.40616655349731445,0.37800025939941406,0.0,0.28613306349,1361.94711259
871.5,1855.0,0.00978758558631,0.889045,0.161763437389,6600.0,2.59925,0.885958,4300.0,1827.3926169872284,2.59184,78.79264402389526,0.40931153297424316,400,-0.0076777683571,26.018056392669678,400,13.3543,0.0,4.368898391723633,699.705473753,13.4537,27.94915461540222,1.39698395074e-08,0.00767776555149,15.236623287200928,-2.80560930044e-09,0.3742344379425049,0.37037158012390137,0.0,0.288256578626,1435.73152086
763.0,2008.0,0.00761124398559,0.88164,0.141539697877,5300.0,2.58263,0.88181,3800.0,1909.8151257038116,2.58291,82.41499948501587,0.4269449710845947,400,-0.00800132472068,26.912816047668457,400,13.2356,0.0,4.941718101501465,714.479530847,13.2319,28.386433124542236,1.93715177232e-08,0.00800132487493,15.821720361709595,1.54250251461e-10,0.4215872287750244,0.3552224636077881,0.0,0.275058367203,1256.13932348
944.0,2006.5,0.00705087883398,0.885285,0.162039293432,6800.0,2.58987,0.884721,4000.0,1992.9768612384796,2.58862,82.09882473945618,0.4192361831665039,400,-0.00477964431047,26.731657028198242,400,13.3114,0.0,4.365043640136719,825.962468881,13.328,29.204766750335693,3.3527611798e-09,0.00477964509919,16.3948016166687,7.88713705457e-10,0.45676732063293457,0.37075161933898926,0.0,0.366126660114,1534.24500977
891.75,1564.5,0.00686260825023,0.874407,0.116895743343,5100.0,2.56565,0.874564,5200.0,2075.478013277054,2.56631,82.49015879631042,0.41819095611572266,400,-0.00949090532959,27.212514877319336,400,13.0177,0.0,4.698442697525024,915.072094154,13.0091,28.382135152816772,-1.49011558648e-09,0.00949090588838,15.660919666290283,5.58793622485e-10,1.077507495880127,0.3740346431732178,0.0,0.283756015486,1178.23586348
959.5,1617.5,0.00687227211893,0.867895,0.141090810574,7900.0,2.55068,0.866723,4300.0,2158.052337169647,2.54767,81.603524684906,0.40818285942077637,400,-0.0095488736406,26.429781436920166,400,12.7773,0.0,4.328858852386475,885.640869653,12.8158,28.91074514389038,1.11758724497e-09,0.00954887479311,16.27409791946411,1.15251164168e-09,0.43065690994262695,0.41597914695739746,0.0,0.234312691394,1462.44444339
1033.75,1393.25,0.00696981837973,0.86531,0.116749670967,4800.0,2.54375,0.864047,5100.0,2238.2286376953125,2.54039,80.1543185710907,0.4134798049926758,400,-0.0099068088457,26.30734133720398,400,12.6846,0.0,4.278724193572998,1106.67788335,12.7273,28.128497838974,1.30385124919e-09,0.00990680995747,15.607367277145386,1.11176634565e-09,0.44208669662475586,0.37152647972106934,0.0,0.211991494191,1092.14442154
633.0,1644.0,0.00769410049543,0.869013,0.0970660389761,5400.0,2.55304,0.87304,4500.0,2319.3532860279083,2.56218,80.11747097969055,0.4135017395019531,400,-0.00824788212776,26.42401695251465,400,12.964,0.0,4.3358094692230225,739.872286276,12.846,28.157570362091064,1.08033413326e-08,0.00824788221798,15.768198728561401,9.02219410293e-11,0.39278197288513184,0.3710160255432129,0.0,0.234891085636,1190.02689045
