0StdReturn,1MaxReturn,0Entropy,0AveragePolicyStd,1AverageReturn,0PolicyExecTime,LossBefore,1NumTrajs,0Perplexity,ItrTime,0AverageReturn,0ProcessExecTime,1MinReturn,1AveragePolicyStd,1ExplainedVariance,1ProcessExecTime,MeanKLBefore,0NumTrajs,LossAfter,dLoss,1Entropy,1StdReturn,MeanKL,0MinReturn,Time,0EnvExecTime,ComputeUpdatedDistTime,0MaxReturn,0ExplainedVariance,1Perplexity,1PolicyExecTime,1EnvExecTime
413.795432215,2900.0,2.37666,0.794084,765.333333333,16.343985557556152,-5.82076609135e-10,1200,10.7688,74.26520156860352,147.416666667,0.6508622169494629,0.0,0.791836,0.455559281344,0.6292729377746582,0.0,1200,-0.00539678940549,0.00539678882342,2.37096,1111.31223735,0.00893468689173,0.0,1795.8289532661438,14.938709020614624,0.08042550086975098,2200.0,0.0838985528918,10.7076,23.88557267189026,14.720904111862183
426.441867863,2900.0,2.37074,0.791747,614.333333333,15.996466875076294,1.65891833603e-09,1200,10.7053,73.77829241752625,158.0,0.6546542644500732,0.0,0.787065,0.42324909028,0.6256093978881836,-7.45057793239e-09,1200,-0.00390922976658,0.0039092314255,2.35886,1024.70868489,0.00716515025124,0.0,1871.4528315067291,14.857638120651245,0.08262801170349121,2400.0,0.0936247832184,10.5789,23.846944093704224,14.659038305282593
418.689224445,2900.0,2.33606,0.77811,602.5,16.208765506744385,2.44472175837e-09,1200,10.3405,73.18411445617676,146.0,0.6557996273040771,0.0,0.775434,0.396530490076,0.6068801879882812,-7.4505774883e-09,1200,-0.00456287059933,0.00456287304405,2.32915,1019.31042867,0.00750218890607,0.0,1946.7259669303894,15.02939248085022,0.08363914489746094,2400.0,0.0962605149984,10.2692,23.310491800308228,14.276066303253174
450.84327623,2900.0,2.31829,0.771216,727.666666667,16.424013376235962,-1.33877620101e-09,1200,10.1583,74.50256061553955,158.583333333,0.678358793258667,0.0,0.77021,0.440182035213,0.622962236404419,1.49011549766e-08,1200,-0.00506186066195,0.00506185932318,2.31564,1087.53600196,0.00629471288994,0.0,2022.9773786067963,15.417619228363037,0.08963894844055176,2300.0,0.12709840767,10.1315,23.643851041793823,14.553905248641968
432.113668173,2900.0,2.31634,0.77051,770.833333333,16.46491575241089,1.45519152284e-09,1200,10.1385,73.87846493721008,143.333333333,0.6772606372833252,0.0,0.767549,0.468948812248,0.6103992462158203,-7.4505774883e-09,1200,-0.00282448949292,0.00282449094811,2.30863,1085.6561636,0.00670491997153,0.0,2098.953565597534,15.510875701904297,0.07746338844299316,2100.0,0.0989502094293,10.0606,22.986202478408813,14.492486476898193
434.283501554,2900.0,2.28007,0.756613,606.666666667,16.76260232925415,6.98491930962e-10,1200,9.77736,73.52337527275085,155.583333333,0.679389238357544,0.0,0.752765,0.388193252747,0.5994002819061279,0.0,1200,-0.00292123062536,0.00292123132385,2.26985,1025.38068811,0.0067903236486,0.0,2174.2670125961304,15.363864183425903,0.07315683364868164,2100.0,0.113610615671,9.67791,22.615187168121338,14.35891604423523
423.591751835,2900.0,2.26894,0.752464,662.666666667,17.243934631347656,-4.65661287308e-10,1200,9.66916,73.90435552597046,148.166666667,0.6783947944641113,0.0,0.750778,0.422545612881,0.5993938446044922,0.0,1200,-0.00347785511985,0.00347785465419,2.26443,1047.26925329,0.00715971784666,0.0,2250.61785531044,15.371502876281738,0.07691192626953125,2100.0,0.115990298203,9.62567,22.640773057937622,14.299378871917725
414.387064095,2900.0,2.2395,0.741466,792.083333333,17.805902242660522,-1.39698386192e-09,1200,9.38867,76.19514918327332,141.833333333,0.7001791000366211,0.0,0.741931,0.470200480163,0.6043696403503418,2.23517382381e-08,1200,-0.0053578815423,0.00535788014531,2.24068,1068.7199476,0.00871609989554,0.0,2328.9070217609406,16.04814577102661,0.3566009998321533,2000.0,0.0951665641319,9.39968,22.546859741210938,14.248287200927734
419.134152152,2900.0,2.20823,0.729987,607.083333333,16.508461713790894,1.04773789644e-09,1200,9.09958,74.17689990997314,138.75,0.6880443096160889,0.0,0.729195,0.399830834147,0.6014318466186523,0.0,1200,-0.00364576093853,0.00364576198626,2.20602,1012.37747887,0.00703751295805,0.0,2404.7354004383087,15.533023118972778,0.07855057716369629,2100.0,0.110556521223,9.07949,22.50076651573181,14.158633708953857
441.681603521,2900.0,2.19722,0.726063,688.0,16.137296199798584,-9.31322574615e-10,1200,8.99996,73.28236603736877,155.833333333,0.661170244216919,0.0,0.723969,0.434617472963,0.6177716255187988,-2.23517311326e-08,1200,-0.00296097085811,0.00296096992679,2.19139,1057.75989714,0.00695994729176,0.0,2480.2725887298584,14.915663719177246,0.07929086685180664,2100.0,0.115145176834,8.94766,23.48013210296631,14.459230661392212
