0Perplexity,1Entropy,0EnvExecTime,0MinReturn,Time,1Perplexity,ComputeUpdatedDistTime,0PolicyExecTime,ItrTime,dLoss,1ProcessExecTime,LossBefore,MeanKL,0MaxReturn,1AverageReturn,0ProcessExecTime,1NumTrajs,0ExplainedVariance,0NumTrajs,1StdReturn,1PolicyExecTime,0AveragePolicyStd,1AveragePolicyStd,1ExplainedVariance,0StdReturn,0AverageReturn,0Entropy,1EnvExecTime,MeanKLBefore,1MinReturn,LossAfter,1MaxReturn
13.0927,2.57233,12.135421752929688,0.0,1592.9557521343231,13.0963,0.3758420944213867,3.0314314365386963,42.44311046600342,0.00920132154424,0.2964804172515869,-2.06637151834e-10,0.0086169205606,3300.0,1423.5,0.33693885803222656,400,0.0343290770863,400,1333.77200076,11.05632209777832,0.877022,0.877221,0.161464988179,635.962606998,328.75,2.57205,12.1322603225708,-2.42143838314e-09,0.0,-0.00920132175088,5600.0
13.2574,2.58563,11.892613172531128,0.0,1636.5350337028503,13.2716,0.39585256576538086,2.732269763946533,42.53361415863037,0.00901794247329,0.316495418548584,-1.86264514923e-09,0.00928431935608,2800.0,1272.25,0.3148307800292969,400,0.0342077044778,400,1557.40326746,11.626364946365356,0.882655,0.883075,0.113712640299,415.6798648,185.5,2.58455,12.32637333869934,-1.67638047888e-09,0.0,-0.00901794433594,6600.0
13.2414,2.58451,11.8253493309021,0.0,1679.3897452354431,13.2568,0.34044814109802246,2.6932880878448486,42.850345611572266,0.00961364293471,0.3100736141204834,4.65661287308e-10,0.00743984617293,3800.0,1673.5,0.35669851303100586,400,0.0335481712808,400,1519.37413102,11.82588267326355,0.882131,0.88298,0.165081771359,595.935766253,290.75,2.58334,12.578446626663208,4.28408508668e-09,0.0,-0.00961364246905,6900.0
12.9999,2.57411,12.91781210899353,0.0,1728.9478545188904,13.1196,0.39502716064453125,3.188767910003662,48.006648540496826,0.00883986370172,0.36557531356811523,1.2805685401e-09,0.00657348800451,4100.0,1333.5,0.3812291622161865,400,0.0289113206656,400,1308.59762723,13.121304512023926,0.874174,0.878316,0.17778090799,727.837164138,335.75,2.56494,13.483590126037598,-2.0489103747e-09,0.0,-0.00883986242115,5800.0
12.9249,2.57002,12.66120719909668,0.0,1775.487622976303,13.0661,0.3554956912994385,3.2343969345092773,46.532896757125854,0.00759522232693,0.3480041027069092,4.54019755125e-09,0.00673202937469,3100.0,1498.5,0.36819005012512207,400,0.0328852473384,400,1689.5850822,13.0287766456604,0.871956,0.876867,0.132820436204,402.02293156,192.75,2.55915,13.08360767364502,-7.45057460172e-10,0.0,-0.00759521778673,7300.0
12.8726,2.55792,12.599751949310303,0.0,1824.5853362083435,12.909,0.467085599899292,3.209296941757202,47.98981285095215,0.00871266759932,0.35000181198120117,-3.72529007642e-10,0.00755618233234,4100.0,1544.25,0.3244516849517822,400,0.0365248427241,400,1451.40171472,14.015657424926758,0.870284,0.871383,0.157700576213,813.780682985,431.0,2.5551,13.437692642211914,-4.6566119849e-09,0.0,-0.00871266797185,6300.0
12.8004,2.5569,13.496415376663208,0.0,1876.4331495761871,12.8958,0.40647244453430176,3.863908290863037,51.83055782318115,0.00942678521387,0.3631422519683838,-2.28174035222e-09,0.00752249266952,4800.0,899.25,0.3856837749481201,400,0.0550597747875,400,1049.20180971,14.973907709121704,0.868342,0.871718,0.140410613058,956.527541423,552.25,2.54948,14.07294487953186,-5.7742028936e-09,0.0,-0.00942678749561,4800.0
12.8593,2.55616,13.463873386383057,0.0,1929.4747297763824,12.8863,0.3793797492980957,3.7058186531066895,51.99848771095276,0.00734386378899,0.36318325996398926,2.51457099587e-09,0.0071668275632,2500.0,1081.5,0.3749520778656006,400,0.0400914290377,400,1281.25241463,15.378431558609009,0.870567,0.871619,0.118403724079,443.012133017,209.5,2.55407,14.265300035476685,3.53902618322e-09,0.0,-0.00734386127442,6000.0
12.9845,2.57435,13.374262809753418,0.0,1982.7287430763245,13.1227,0.37186264991760254,4.0348780155181885,53.23252844810486,0.00871126875281,0.388108491897583,-3.72529118664e-10,0.00645324634388,4200.0,1737.0,0.3730959892272949,400,0.0523706217593,400,1830.86891939,15.642661571502686,0.874532,0.879164,0.130207687592,854.160260139,489.5,2.56376,14.82397174835205,2.42143793905e-09,0.0,-0.00871126912534,7000.0
12.9198,2.56938,13.90628957748413,0.0,2037.865083694458,13.0578,0.4294755458831787,4.442890405654907,54.01709580421448,0.0080718047102,0.3895137310028076,2.1536834538e-09,0.00854283105582,3600.0,1148.25,0.39615964889526367,400,0.0312098099512,400,1396.33339053,15.960509538650513,0.872678,0.877547,0.128924465032,652.816924949,289.75,2.55876,14.44139552116394,1.11758702293e-09,0.0,-0.00807180255651,6200.0
12.6891,2.54788,13.159202337265015,0.0,2090.2430799007416,12.78,0.38592529296875,3.7017154693603516,52.36898612976074,0.00811856093351,0.36514830589294434,3.95812049803e-10,0.00678356690332,4400.0,1296.5,0.358431339263916,400,0.0372198667868,400,1366.83493883,15.455137014389038,0.864496,0.867582,0.13584126948,745.397167623,368.25,2.54074,14.200060844421387,1.30385169328e-09,0.0,-0.0081185605377,6000.0
12.6582,2.54081,13.308143854141235,0.0,2142.631593465805,12.69,0.4549672603607178,3.849130392074585,51.31877541542053,0.00762573758839,0.3446314334869385,-5.70435254588e-10,0.00702639389783,3900.0,1609.75,0.36206674575805664,400,0.0570435963984,400,1603.6614161,14.968879461288452,0.863926,0.8654,0.231314755073,796.159374749,380.5,2.5383,13.697954416275024,-4.4703480917e-09,0.0,-0.00762573815882,5900.0
12.6108,2.5437,13.263744115829468,0.0,2194.3274052143097,12.7267,0.36774277687072754,4.5347771644592285,51.68700361251831,0.00981806148775,0.3575584888458252,-6.98491930962e-10,0.00951430015266,3700.0,1448.25,0.36162710189819336,400,0.0349852976685,400,1492.24560227,15.16236162185669,0.862305,0.866342,0.158926856911,550.580999945,246.75,2.53455,14.134956121444702,-2.421437717e-09,0.0,-0.00981806218624,5800.0
12.683,2.54108,13.237305879592896,0.0,2247.6746797561646,12.6933,0.42490458488464355,3.9944398403167725,52.11288595199585,0.00834829428932,0.32943058013916016,2.5494955036e-09,0.00810142979026,4500.0,1518.75,0.34347009658813477,400,0.0486836861718,400,1490.67885123,15.736421346664429,0.865067,0.865143,0.14486338373,770.688653089,367.0,2.54026,14.084201097488403,-3.16649662047e-09,0.0,-0.00834829173982,6100.0
12.3448,2.50898,13.379416942596436,0.0,2303.5358736515045,12.2924,0.4088401794433594,4.572817802429199,55.83732986450195,0.00933840293437,0.3622565269470215,7.45058126306e-10,0.00793332327157,4800.0,1027.5,0.3678009510040283,400,0.042901131982,400,1159.26431412,15.84610104560852,0.854419,0.853,0.120216052319,927.772028841,496.25,2.51323,14.924210786819458,-1.6763805899e-09,0.0,-0.00933840218931,4900.0
12.2336,2.50668,14.111509084701538,0.0,2360.4804418087006,12.2641,0.3717460632324219,3.7659659385681152,55.74515986442566,0.00922757307417,0.3728902339935303,-7.97445054435e-10,0.00678175268695,5400.0,1748.75,0.37053799629211426,400,0.0558604685807,400,1527.93927808,17.09113049507141,0.851149,0.852725,0.199947349098,998.265714878,560.75,2.50419,15.041027069091797,8.38190072905e-10,0.0,-0.00922757387161,6800.0
