0StdReturn,MeanKL,ItrTime,LossBefore,0NumTrajs,0AveragePolicyStd,0AverageReturn,ComputeUpdatedDistTime,dLoss,1Entropy,0PolicyExecTime,0Entropy,0ExplainedVariance,0EnvExecTime,1ExplainedVariance,MeanKLBefore,1AverageReturn,0ProcessExecTime,0MinReturn,0Perplexity,1MinReturn,1Perplexity,1NumTrajs,1EnvExecTime,1AveragePolicyStd,LossAfter,Time,1StdReturn,1PolicyExecTime,0MaxReturn,1ProcessExecTime,1MaxReturn
92.1357693841,0.00718418834731,46.340219020843506,1.51339918375e-09,800,0.792393,6.0,0.06887531280517578,0.00544305110816,2.37344,10.032993078231812,2.36983,0.106113303149,9.264309406280518,0.0545485902184,-7.45058059692e-09,40.625,0.4136495590209961,0.0,10.6956,0.0,10.7343,800,9.055490970611572,0.793872,-0.00544304959476,1580.6591753959656,223.577971578,14.939701795578003,2000.0,0.387493371963501,2100.0
317.4515465,0.00712950667366,46.89217805862427,1.97906047106e-09,800,0.800829,92.125,0.07535409927368164,0.00825361080933,2.38407,10.343502044677734,2.3904,0.106708354182,9.50685977935791,0.402069627644,9.71445146547e-17,549.5,0.4186058044433594,0.0,10.9179,0.0,10.8489,800,9.03809666633606,0.798247,-0.00825360883027,1629.0992588996887,869.094212384,15.012784004211426,1900.0,0.38675594329833984,2900.0
72.8816463522,0.00854153186083,46.96434140205383,-1.16415321827e-09,800,0.793515,7.125,0.07195353507995605,0.0063870807644,2.37065,10.158084154129028,2.3716,0.03328397293,9.44810676574707,0.289237905129,0.0,155.625,0.41791677474975586,0.0,10.7145,0.0,10.7044,800,9.18045711517334,0.793113,-0.00638708192855,1677.4549434185028,450.63106792,15.250611782073975,1100.0,0.3947138786315918,2400.0
245.698494094,0.00701269274577,47.00039005279541,-2.79396772385e-09,800,0.781175,63.5,0.07217550277709961,0.00744031742215,2.3332,10.173213243484497,2.34047,0.0634859606282,9.47755241394043,0.330208180254,0.0,421.875,0.41815996170043945,0.0,10.3861,0.0,10.3109,800,9.198017597198486,0.778263,-0.00744032021612,1725.755139350891,811.115888375,15.209476470947266,1600.0,0.39807653427124023,2900.0
172.238207143,0.00815957970917,46.300586462020874,3.0267983675e-09,800,0.771537,28.0,0.07037663459777832,0.00670772627927,2.31705,10.194562673568726,2.31464,0.0753888660737,9.476837873458862,0.345238035842,0.0,322.75,0.4271814823150635,0.0,10.1213,0.0,10.1457,800,8.919310331344604,0.772445,-0.00670772325248,1773.6771547794342,621.274848598,14.795625448226929,1600.0,0.386704683303833,2400.0
191.425573004,0.00904399063438,46.322585344314575,5.82076609135e-10,800,0.767803,37.5,0.08868145942687988,0.00779647484887,2.30677,9.99938154220581,2.30528,0.100446683199,9.221868991851807,0.573003869872,0.0,635.875,0.413210391998291,0.0,10.027,0.0,10.0419,800,9.054269313812256,0.768415,-0.0077964742668,1821.406873703003,868.029656391,15.148731470108032,1600.0,0.39374589920043945,2700.0
165.0870509,0.00908230617642,46.94076156616211,-1.2805685401e-09,800,0.754126,28.875,0.07110905647277832,0.00681546435226,2.26256,10.127403020858765,2.26915,0.173983134575,9.299401760101318,0.526178409041,0.0,486.375,0.4185056686401367,0.0,9.67116,0.0,9.60763,800,9.201521635055542,0.751633,-0.00681546563283,1869.4402232170105,718.732815012,15.121684551239014,1500.0,0.39110898971557617,2500.0
315.977748425,0.00824255030602,47.740901947021484,3.0267983675e-09,800,0.739917,94.25,0.07576847076416016,0.00823313486762,2.21875,10.62516736984253,2.23088,0.112381797601,9.838733673095703,0.412573335174,1.86264514923e-08,824.25,0.4367356300354004,0.0,9.30804,0.0,9.19584,800,9.227662563323975,0.735362,-0.00823313184083,1918.5909440517426,942.277526793,15.12171220779419,1900.0,0.3932762145996094,2700.0
272.969664065,0.00777063146234,46.38674879074097,2.67755240202e-09,800,0.735424,74.75,0.06961226463317871,0.00671225122642,2.21483,10.082353830337524,2.22015,0.154036959068,9.342339515686035,0.535838027846,0.0,746.75,0.4109930992126465,0.0,9.20867,0.0,9.15986,800,8.984386682510376,0.733455,-0.00671224854887,1966.0440261363983,982.644105208,15.08835482597351,1900.0,0.3806743621826172,2900.0
240.582106567,0.00722402427346,47.24345254898071,6.11180439591e-10,800,0.723895,54.5,0.06685781478881836,0.00296703740605,2.18908,9.487685918807983,2.1884,0.0815379165932,8.989291191101074,0.395010030723,0.0,354.5,0.39317917823791504,0.0,8.92095,0.0,8.92704,800,9.649340152740479,0.724038,-0.00296703679487,2014.877542257309,865.118344506,15.970202445983887,1700.0,0.41211438179016113,2800.0
173.06208243,0.00909698661417,46.7969126701355,-1.60071067512e-09,800,0.705074,35.875,0.08057236671447754,0.00620277391863,2.13759,9.926554679870605,2.13689,0.114234956901,9.407727479934692,0.320575274089,0.0,251.625,0.41495418548583984,0.0,8.47308,0.0,8.47902,800,9.213375568389893,0.705266,-0.00620277551934,2062.993243455887,627.393305172,15.072102546691895,1700.0,0.3912045955657959,2700.0
311.884168202,0.00739426817745,45.38974857330322,3.20142135024e-10,800,0.692421,87.125,0.0688173770904541,0.00480472235358,2.09986,9.498425483703613,2.10124,0.128694781021,9.060878276824951,0.361982622716,1.49011576411e-08,610.5,0.39882659912109375,0.0,8.17629,0.0,8.16503,800,8.969358682632446,0.691905,-0.00480472203344,2109.457547187805,974.058391474,14.997921228408813,1900.0,0.38909006118774414,2800.0
298.47780487,0.00739181088284,46.655975341796875,9.31322574615e-10,800,0.688348,94.0,0.07434844970703125,0.00497516896576,2.09154,10.015581369400024,2.08983,0.125181857552,9.288663148880005,0.462446310732,-7.45057571194e-09,880.75,0.41886162757873535,0.0,8.08358,0.0,8.09734,800,9.082915544509888,0.688954,-0.00497516803443,2157.4056465625763,1054.12496294,15.252722024917603,2000.0,0.3923370838165283,2900.0
0.0,0.0075954659842,45.598817348480225,-6.98491930962e-10,800,0.681218,0.0,0.06841826438903809,0.00239793211222,2.06901,9.915570259094238,2.06901,1,8.86104941368103,0.0308182093154,0.0,0.875,0.41261887550354004,0.0,7.91701,0.0,7.91701,800,8.922897577285767,0.681218,-0.00239793281071,2204.3092164993286,24.7332645439,14.975924491882324,0.0,0.39681363105773926,700.0
188.947082539,0.00904325116426,46.35526776313782,5.82076609135e-10,800,0.681947,32.0,0.07024526596069336,0.00618300971109,2.07607,10.161706686019897,2.07125,0.107253660384,9.137543201446533,0.25138695452,7.4505814851e-09,140.125,0.42383360862731934,0.0,7.93474,0.0,7.97306,800,8.967095851898193,0.683625,-0.00618300912902,2251.681884765625,468.110547173,15.070701122283936,1600.0,0.3964099884033203,2500.0
326.625167432,0.00806947983801,45.773680686950684,-2.32830643654e-10,800,0.68501,104.0,0.0734703540802002,0.00325808650814,2.07974,9.885276079177856,2.0804,0.204627006863,8.9505136013031,0.517898919041,1.49011629702e-08,566.125,0.4179234504699707,0.0,8.00771,0.0,8.00238,800,8.817430257797241,0.684732,-0.00325808674097,2299.0196611881256,1019.49251315,15.04827070236206,1700.0,0.3930072784423828,2900.0
189.98420987,0.00974975991994,48.11052632331848,1.39698386192e-09,800,0.681737,34.0,0.09253454208374023,0.00636722939089,2.07781,10.294764995574951,2.07099,0.0842595905309,9.325019121170044,0.431838782932,0.0,394.625,0.43070125579833984,0.0,7.93265,0.0,7.98694,800,9.25847840309143,0.684089,-0.00636722799391,2348.621855020523,732.518675103,15.928164958953857,1900.0,0.4188864231109619,2600.0
286.87080607,0.00769780622795,49.192235708236694,2.56113708019e-09,800,0.675664,78.375,0.09597539901733398,0.00455176993273,2.05128,10.909967184066772,2.05259,0.0603308477694,9.091668128967285,0.380936359749,0.0,548.875,0.42430710792541504,0.0,7.78803,0.0,7.77781,800,9.374410152435303,0.67525,-0.00455176737159,2398.9137001037598,981.477831831,16.55514144897461,2000.0,0.41523027420043945,2900.0
236.962022274,0.00742776226252,48.58620858192444,4.36557456851e-10,800,0.668382,57.0,0.08037900924682617,0.00475836309488,2.03346,10.62049388885498,2.03108,0.0735266031191,8.987104177474976,0.489602404812,7.4505814851e-09,656.75,0.4179978370666504,0.0,7.62233,0.0,7.64046,800,9.08400845527649,0.669143,-0.00475836265832,2448.8978536129,1019.37698498,16.731237411499023,1900.0,0.40729808807373047,2900.0
342.955900955,0.00648294808343,48.52826905250549,1.62981450558e-09,800,0.66483,107.5,0.07871675491333008,0.00414333189838,2.02189,11.011391162872314,2.02077,0.0973927466543,9.198181390762329,0.355196083427,7.45058059692e-09,343.75,0.427509069442749,0.0,7.54411,0.0,7.55261,800,9.000296115875244,0.665192,-0.00414333026856,2498.9699738025665,830.759253635,16.216283082962036,1800.0,0.4030182361602783,2900.0
366.501620051,0.00975681468844,50.0308735370636,-2.09547579288e-09,800,0.654551,141.25,0.0706169605255127,0.00444192695431,1.98629,10.949400186538696,1.98937,0.169832794567,9.141591787338257,0.509708869268,-1.94289029309e-16,969.75,0.43834805488586426,0.0,7.31094,0.0,7.28843,800,9.722367763519287,0.653564,-0.00444192904979,2550.167729616165,1192.49106391,17.17664909362793,2000.0,0.43366479873657227,2900.0
340.894022205,0.00949857756495,52.584261417388916,-6.40284270048e-10,800,0.652675,115.125,0.07756853103637695,0.00668108119862,1.97944,11.434011697769165,1.9836,0.166197159752,9.511905908584595,0.526739998406,0.0,773.875,0.4529609680175781,0.0,7.26888,0.0,7.23867,800,9.84578251838684,0.651335,-0.00668108183891,2604.3034257888794,1028.69090808,18.571996927261353,1900.0,0.45218420028686523,2900.0
204.855093603,0.0087795201689,48.86452627182007,-3.49245965481e-09,800,0.645962,37.375,0.07250666618347168,0.0052820101846,1.96352,11.19015121459961,1.96336,0.0637348496841,9.161075115203857,0.422893430242,0.0,464.125,0.4383711814880371,0.0,7.12322,0.0,7.12439,800,8.916187047958374,0.646043,-0.00528201367706,2654.347707271576,824.272700249,15.76972508430481,2000.0,0.3948984146118164,2800.0
379.342173209,0.00979322101921,47.0128607749939,3.25962901115e-09,800,0.641952,135.875,0.06860780715942383,0.00494185788557,1.94748,10.645865440368652,1.95095,0.151765750743,9.096057176589966,0.477372119147,2.23517506726e-08,615.125,0.42139434814453125,0.0,7.0354,0.0,7.01103,800,8.871502876281738,0.640834,-0.00494185462594,2702.8228709697723,1040.44881391,15.484056234359741,1900.0,0.3862271308898926,2900.0
309.048919065,0.00924106687307,48.643908977508545,-4.19095158577e-09,800,0.63508,94.875,0.06879734992980957,0.00751691078767,1.92916,10.634868860244751,1.92942,0.0902142524496,9.27173662185669,0.462555157702,-7.4505814851e-09,854.0,0.42001819610595703,0.0,6.8855,0.0,6.88374,800,9.068455219268799,0.634999,-0.00751691497862,2752.8583693504333,1009.3854566,16.723306894302368,1900.0,0.4034571647644043,2800.0
397.019186407,0.00726302014664,46.17906713485718,2.8230715543e-09,800,0.632743,157.125,0.07282829284667969,0.00417688585003,1.91779,9.69727897644043,1.92204,0.118945490001,9.073388814926147,0.468114535483,7.4505814851e-09,1010.0,0.4159212112426758,0.0,6.83492,0.0,6.80587,800,9.117800235748291,0.631417,-0.00417688302696,2800.3163237571716,1099.45441015,15.377186059951782,2000.0,0.4022707939147949,2900.0
